"municipality","unique_vehicle_count"
,"119838"
"沈阳市","84897"
"上海市","82406"
"杭州市","78244"
"苏州市","63134"
"深圳市","55657"
"广州市","54988"
"成都市","51742"
"南京市","51677"
"宁波市","46391"
"湖州市","44534"
"无锡市","44387"
"北京市","43425"
"嘉兴市","42376"
"重庆市","39363"
"天津市","38626"
"常州市","38071"
"绍兴市","37803"
"金华市","36902"
"长沙市","36566"
"佛山市","35903"
"东莞市","34906"
"郑州市","33978"
"西安市","33043"
"惠州市","31153"
"青岛市","31026"
"济南市","30993"
"合肥市","29607"
"台州市","29306"
"南通市","29146"
"武汉市","27238"
"扬州市","26792"
"石家庄市","25162"
"温州市","24696"
"潍坊市","22452"
"泰州市","22144"
"临沂市","21679"
"保定市","21427"
"盐城市","21188"
"徐州市","21119"
"镇江市","20785"
"沧州市","20704"
"南昌市","20602"
"淮安市","19912"
"香港特别行政区","19644"
"滁州市","19084"
"清远市","19010"
"厦门市","18969"
"江门市","18823"
"中山市","18565"
"福州市","18431"
"珠海市","18153"
"邢台市","18128"
"贵阳市","17688"
"泉州市","17395"
"廊坊市","17175"
"南宁市","16995"
"邯郸市","16570"
"昆明市","16560"
"宣城市","16291"
"淄博市","16258"
"遵义市","16034"
"衢州市","15932"
"太原市","15928"
"海口市","15723"
"唐山市","15684"
"烟台市","15413"
"宿迁市","15323"
"绵阳市","15189"
"洛阳市","15119"
"上饶市","14757"
"舟山市","14534"
"连云港市","14409"
"德州市","14318"
"秦皇岛市","14217"
"赣州市","14131"
"济宁市","13800"
"汕头市","13663"
"芜湖市","13604"
"新乡市","13166"
"菏泽市","13042"
"河源市","13019"
"衡阳市","13008"
"乐山市","12957"
"衡水市","12919"
"岳阳市","12686"
"肇庆市","12524"
"泰安市","12395"
"滨州市","12356"
"日照市","12324"
"安庆市","12296"
"韶关市","12064"
"商丘市","12000"
"眉山市","11987"
"南充市","11729"
"周口市","11683"
"汕尾市","11653"
"阳江市","11554"
"漳州市","11498"
"九江市","11446"
"黄山市","11432"
"德阳市","11316"
"郴州市","11221"
"开封市","11198"
"六安市","10949"
"咸阳市","10644"
"丽水市","10626"
"黄冈市","10610"
"湛江市","10248"
"宜春市","10210"
"聊城市","10206"
"抚州市","10179"
"南阳市","10124"
"许昌市","10064"
"信阳市","9999"
"揭阳市","9727"
"桂林市","9713"
"马鞍山市","9668"
"池州市","9601"
"宿州市","9598"
"威海市","9594"
"三亚市","9457"
"驻马店市","9394"
"阜阳市","9352"
"安阳市","9330"
"株洲市","9182"
"渭南市","9148"
"大连市","9020"
"景德镇市","8964"
"梅州市","8907"
"蚌埠市","8856"
"宜宾市","8682"
"茂名市","8667"
"雅安市","8652"
"荆州市","8491"
"资阳市","8436"
"泸州市","8434"
"常德市","8397"
"吉安市","8321"
"宁德市","8281"
"自贡市","8230"
"黔南布依族苗族自治州","8036"
"湘潭市","8032"
"襄阳市","7959"
"遂宁市","7802"
"柳州市","7759"
"邵阳市","7694"
"云浮市","7570"
"晋中市","7562"
"亳州市","7513"
"潮州市","7498"
"宜昌市","7477"
"孝感市","7321"
"宝鸡市","7262"
"永州市","7251"
"长春市","7209"
"咸宁市","7204"
"平顶山市","7191"
"焦作市","7120"
"张家口市","7119"
"铜陵市","6850"
"淮南市","6778"
"内江市","6658"
"濮阳市","6613"
"毕节市","6550"
"广元市","6544"
"枣庄市","6386"
"曲靖市","6285"
"东营市","6280"
"莆田市","6256"
"黔东南苗族侗族自治州","6249"
"怀化市","6223"
"漯河市","6135"
"大理白族自治州","6131"
"南平市","6106"
"益阳市","6087"
"娄底市","6050"
"运城市","5996"
"忻州市","5945"
"三明市","5938"
"凉山彝族自治州","5931"
"达州市","5924"
"阿坝藏族羌族自治州","5914"
"三门峡市","5853"
"承德市","5815"
"龙岩市","5691"
"长治市","5690"
"安康市","5610"
"玉林市","5464"
"梧州市","5462"
"北海市","5364"
"六盘水市","5364"
"临汾市","5345"
"铜仁市","5342"
"兰州市","5195"
"广安市","5181"
"贺州市","5103"
"汉中市","5079"
"大同市","5064"
"恩施土家族苗族自治州","5037"
"贵港市","4998"
"安顺市","4926"
"荆门市","4866"
"晋城市","4779"
"呼和浩特市","4760"
"随州市","4702"
"河池市","4651"
"楚雄彝族自治州","4614"
"钦州市","4552"
"鞍山市","4511"
"湘西土家族苗族自治州","4495"
"商洛市","4405"
"萍乡市","4397"
"百色市","4326"
"儋州市","4321"
"黄石市","4311"
"玉溪市","4253"
"红河哈尼族彝族自治州","4195"
"哈尔滨市","4180"
"营口市","4111"
"巴中市","4094"
"十堰市","4021"
"昭通市","3994"
"琼海市","3987"
"张家界市","3866"
"仙桃市","3850"
"万宁市","3783"
"葫芦岛市","3778"
"鹰潭市","3591"
"陵水黎族自治县","3585"
"鹤壁市","3577"
"延安市","3547"
"银川市","3533"
"丽江市","3484"
"吕梁市","3453"
"攀枝花市","3438"
"甘孜藏族自治州","3423"
"淮北市","3309"
"鄂州市","3273"
"崇左市","3236"
"来宾市","3234"
"鄂尔多斯市","3224"
"黔西南布依族苗族自治州","3199"
"乌鲁木齐市","3094"
"榆林市","3043"
"潜江市","2990"
"防城港市","2957"
"文昌市","2883"
"天门市","2860"
"铁岭市","2854"
"澄迈县","2852"
"锦州市","2851"
"西宁市","2834"
"盘锦市","2793"
"新余市","2642"
"乌兰察布市","2558"
"包头市","2532"
"辽阳市","2425"
"赤峰市","2371"
"铜川市","2346"
"朔州市","2282"
"丹东市","2082"
"普洱市","2080"
"天水市","1998"
"乐东黎族自治县","1992"
"定西市","1921"
"文山壮族苗族自治州","1890"
"西双版纳傣族自治州","1851"
"","1835"
"雄安新区","1810"
"陇南市","1805"
"阳泉市","1779"
"抚顺市","1767"
"琼中黎族苗族自治县","1725"
"吉林市","1710"
"屯昌县","1670"
"东方市","1630"
"平凉市","1630"
"保山市","1503"
"本溪市","1500"
"济源市","1495"
"吴忠市","1481"
"通辽市","1449"
"阜新市","1444"
"中卫市","1436"
"朝阳市","1404"
"四平市","1404"
"白银市","1387"
"澳门特别行政区","1385"
"定安县","1362"
"通化市","1304"
"张掖市","1249"
"酒泉市","1235"
"保亭黎族苗族自治县","1198"
"海东市","1172"
"昌江黎族自治县","1146"
"固原市","1143"
"迪庆藏族自治州","1136"
"松原市","1113"
"德宏傣族景颇族自治州","1101"
"昌吉回族自治州","1084"
"武威市","1030"
"庆阳市","1028"
"延边朝鲜族自治州","1004"
"五指山市","989"
"伊犁哈萨克自治州","912"
"锡林郭勒盟","908"
"临高县","906"
"嘉峪关市","840"
"海南藏族自治州","807"
"海西蒙古族藏族自治州","794"
"神农架林区","778"
"拉萨市","778"
"巴彦淖尔市","773"
"齐齐哈尔市","737"
"绥化市","729"
"临夏回族自治州","728"
"大庆市","711"
"吐鲁番市","711"
"甘南藏族自治州","708"
"临沧市","701"
"呼伦贝尔市","664"
"白山市","647"
"博尔塔拉蒙古自治州","646"
"哈密市","635"
"石嘴山市","631"
"塔城地区","621"
"巴音郭楞蒙古自治州","610"
"辽源市","607"
"阿克苏地区","602"
"石河子市","599"
"白城市","585"
"白沙黎族自治县","516"
"兴安盟","509"
"金昌市","493"
"海北藏族自治州","483"
"克拉玛依市","450"
"喀什地区","439"
"阿拉善盟","419"
"乌海市","401"
"林芝市","351"
"昌都市","324"
"佳木斯市","309"
"牡丹江市","269"
"阿勒泰地区","228"
"伊春市","206"
"黑河市","195"
"怒江傈僳族自治州","170"
"和田地区","167"
"那曲市","160"
"鹤岗市","149"
"克孜勒苏柯尔克孜自治州","124"
"鸡西市","123"
"黄南藏族自治州","121"
"七台河市","108"
"果洛藏族自治州","105"
"阿拉尔市","100"
"五家渠市","96"
"新星市","95"
"双鸭山市","92"
"日喀则市","87"
"玉树藏族自治州","80"
"山南市","71"
"北屯市","70"
"胡杨河市","47"
"铁门关市","46"
"大兴安岭地区","46"
"阿里地区","43"
"可克达拉市","38"
"Hong Kong","37"
"图木舒克市","34"
"双河市","32"
"昆玉市","8"
"台湾省","4"
"白杨市","2"
" ","1"
"원정리","1"
