alias,canonical_name,pinyin_name
brand_name,cpo_name,cpo_name
66快充,66快充,66kuaichong
Bmw,BMW,bmw
ECPOWER,ECPOWER,ecpower
EVCARD,EVCARD,evcard
Evcard,EVCARD,evcard
E充泊,E充泊,echongpo
E来电,E来电,elaidian
Funcharging,Funcharging,funcharging
Hi ZOOM,Hi ZOOM,hi zoom
I充能源,iCharge,icharge
JAC,JAC,jac
JSOWELL,JSOWELL,jsowell
Nio,Nio,nio
PP充电,PP充电,ppchongdian
Tesla,Tesla,tesla
VCHARG惠乘,VCHARG惠乘,vcharghuicheng
bp,Shell,shell
evcard,EVCARD,evcard
iCharge,iCharge,icharge
i玖充电,i玖充电,ijiuchongdian
一电,一电,yidian
一码,一码YiMa,yimayima
一码YiMa,一码YiMa,yimayima
丁新能源,丁新能源,dingxinnengyuan
万净极速充,万净,wanjing
万城万充,万城万充,wanchengwanchong
万马爱充,万马爱充,wanmaaichong
三加充电,三加充电,sanjiachongdian
三只孔雀,三只孔雀,sanzhikongque
三峡小充,三峡小充,sanxiaxiaochong
上海壳牌,Shell,shell
世动云充,世动云充,shidongyunchong
东e电,东e电,dongedian
东莞汇能新能源,东莞汇能,dongguanhuineng
中万充电,中万充电,zhongwanchongdian
中万石化,中万石化,zhongwanshihua
中创高科,中创高科,zhongchuanggaoke
中国石化,中国石化,zhongguoshihua
中国石油,中国石油,zhongguoshiyou
中国石油 金融中心站,中国石油,zhongguoshiyou
中国铁塔,中国铁塔,zhongguotieta
中城光丽,中城光丽,zhongchengguangli
中江实业,中江实业,zhongjiangshiye
中油智电,中油智电,zhongyouzhidian
中电思极能,中电思极能,zhongdiansijineng
中装天如,中装天如,zhongzhuangtianru
中铁一局,中铁一局,zhongtieyiju
举视,举视,jushi
乐七,乐七,leqi
乐华,乐华,lehua
乐来电,乐来电,lelaidian
九分钟新能源,九分钟,jiufenzhong
云亿威新,云亿威新,yunyiweixin
云南云享新能源,云享,yunxiang
云南交运,交运,jiaoyun
云南千法,千法,qianfa
云南能投,能投,nengtou
云快充,云快充,yunkuaichong
云杉智慧,云杉智慧,yunshanzhihui
云电乐享,云电乐享,yundianlexiang
云睿充,云睿充,yunruichong
云硕新能源,云硕,yunshuo
云谷向黔,云谷向黔,yunguxiangqian
云鲲新能源,云鲲,yunkun
交投,交投,jiaotou
交运,交运,jiaoyun
亨通慧充,亨通慧充,hengtonghuichong
享悦,享悦,xiangyue
亿天宸,亿天宸,yitianchen
亿家亿桩,亿家亿桩,yijiayizhuang
亿汇充,亿汇充,yihuichong
亿电充,亿电充,yidianchong
亿能天成,亿能天成,yinengtiancheng
亿谦,亿谦,yiqian
亿谦电子,亿谦电子,yiqiandianzi
仁和云朵,仁和云朵,renheyunduo
任我充,任我充,renwochong
伍道和,伍道和,wudaohe
众巅,众巅,zhongdian
优易充charge,优易充,youyichong
优洁电,优洁电,youjiedian
优盛新能源,优盛,yousheng
优盛智控,优盛,yousheng
优速得,优速得,yousude
佛山绿丰汽车,绿丰,lvfeng
依威能源,依威,yiwei
保时捷,保时捷,baoshijie
倢电充,倢电充,jiedianchong
充充有电,充充有电,chongchongyoudian
充电喵,充电喵,chongdianmiao
充电有道,充电有道,chongdianyoudao
充电猿,充电猿,chongdianyuan
光储,光储,guangchu
全市快充,全市,quanshi
全日充,全日充,quanrichong
全能充,全能充,quannengchong
公交快充,公交,gongjiao
公交新能源,公交,gongjiao
公牛,公牛,gongniu
共创新能源,共创,gongchuang
兴国新能源,兴国,xingguo
兴威,兴威,xingwei
兴诺充电,兴诺充电,xingnuochongdian
凯麦斯,凯麦斯,kaimaisi
利嘉智充,利嘉智充,lijiazhichong
制之分,制之分,zhizhifen
力氪,力氪,like
力氪充,力氪,like
动力联盟,动力联盟,donglilianmeng
劲桩,劲桩,jinzhuang
勤充,勤充,qinchong
北京卡丘,卡丘,kaqiu
北汽极狐,极狐,jihu
北网新能源,北网,beiwang
北能能源,北能,beineng
华为,华为,huawei
华之电,华之电,huazhidian
华之耀,华之耀,huazhiyao
华体,华体,huati
华充充电,华充,huachong
华北壳牌,Shell,shell
华瑞快充,华瑞,huarui
华盈充电,华盈,huaying
协行,协行,xiexing
南京易充,易充,yichong
南方电网,南方电网,nanfangdianwang
南昌城投新能源,城投,chengtou
南电新能源,南电,nandian
南网电动,南网电动,nanwangdiandong
卡丘充电,卡丘,kaqiu
卡丘聚能,卡丘,kaqiu
卡泰驰,卡泰驰,kataichi
卫莱电,卫莱电,weilaidian
友电,友电,youdian
友翔芯科,友翔芯科,youxiangxinke
友谊路,友谊路,youyilu
叠科,叠科,dieke
古都能瑞,古都能瑞,gudunengrui
叮叮,叮叮,dingding
叻驿充,叻驿充,leyichong
合众融通,合众融通,hezhongrongtong
吉丰,吉丰,jifeng
吉吉,吉吉,jiji
吉智能源,吉智,jizhi
君来顺快充,君来顺,junlaishun
君达,君达,junda
君达石化,君达,junda
吴都能源,吴都,wudou
呱呱,呱呱,gugu
和云充,和云充,heyunchong
和兴慧能,和兴慧能,hexinghuineng
咚咚充电,咚咚充电,dongdongchongdian
哈博能源,哈博,habo
哈哩充电,哈哩,hali
哪儿充,哪儿充,naerchong
唐充充,唐充充,tangchongchong
唐山能源,唐山能源,tangshannengyuan
唐河智慧,唐河智慧,tanghezhihui
嘉盛电源,嘉盛电源,jiashengdianyuan
嘟嘟动力,嘟嘟动力,dududongli
四川明星新能源,四川明星,sichuanmingxing
四川能源,四川能源,sichuannengyuan
国信出行,国信出行,guoxinchuxing
国家电网,国家电网,guojiadianwang
国油新能源,国油新能源,guoyouxinnengyuan
国源智充,国源智充,guoyuanzhichong
国电投智慧充电,国电投,guodiantou
国电投（珠海）,国电投,guodiantou
国网分布式新能源,国家电网,guojiadianwang
国网英大,国网英大,guowangyingda
地上铁,地上铁,dishangtie
均悦充,均悦充,junyuechong
坊液,坊液,fangye
城中智能,城中智能,chengzhongzhineng
城头能源,城头,chengtou
城投能源,城头,chengtou
塑云科技,塑云,suyun
壳牌,Shell,shell
壳牌充电,Shell,shell
壹电蜀,壹电蜀,yidianshu
大理滇能,大理滇能,dalidianneng
大象,大象,daxiang
天光地合,天光地合,tianguangdihe
天天充电,天天充电,tiantianchongdian
天天有乾,天天有乾,tiantianyouqian
天天超充,天天超充,tiantianchaochong
天童,天童,tiantong
太湖智行,太湖智行,taihuzhixing
太空充电,太空充电,taikongchongdian
太能充,太能充,tainengchong
太能冲,太能充,tainengchong
奇瑞,奇瑞,qirui
奥特迅,奥特迅,aotexun
