station_name,longitude,latitude
上海城紫微星超级充电站,113.36624,22.503544
愉秒充九龙坡奥体金龙超充站,106.511591,29.528999
易安充马王场超级充电站,108.401694,31.179027
小可樂科技充電站,103.395541,23.966352
吉智能源充電站,116.964501,31.466452
易安裝老廠充電站,116.964501,31.466452
庫倫超級充電站,108.401694,31.179027
幸福千萬家,125.345401,43.883373
特瓦特超级充电站(茶园),104.085596,30.548196
帕克公源-美业路超级充电站,106.683573,29.52022
新电途汽车充电站(滨南时代I滨南股份站),112.603023,37.857141
小飞象重庆市渝北区华宇御临府五期充电站,106.801483,29.682742
朗新能源投资有限公司充电站(金色阳光充电站),116.312613,35.08896
岳华新能源汽车充电站(汇祥好莱坞站),106.607878,29.7069
驿满充电汽车充电站(驿满开泰路公交),106.483375,29.516647
渝快充汽车充电站(江北五里店站),106.569021,29.588911
润诚达汽车充电站(润宝三狼国际站),106.529612,29.612812
小马爱冲充电站,115.901275,39.612171
润来电超级充电站(重庆盛汇广场充电站),108.401694,31.179027
易佳電充電站,113.107269,22.945418
智道充電站,116.964501,31.466452
一碼充電,122.635167,40.877706
