City,Day,Date,Station,Use Case,Status,CPO Name,Manufacturer,MODEL,Voltage(V),Current(A),Power(kW),Start Method,Has_12A_24A,Start Time,Start SoC(%),End Time,End SoC(%),End Method,End Reason,Test Result,Error Describe,Remark,cpo_pinyin,city_abbr,station_num,station_id,Internal_Market_Share (%),National_Impact_Share (%)
成都,1,2026-03-09,大充新都锦水苑充电站,UC01_CC_DC_AC_Sessions,Normal Test,達克雲,浙江萬馬新能源有限公司,DC,1000.0,250.0,120.0,Scan QR Code,0.0,2026-03-09 11:24:24,73.0,2026-03-09 11:26:42,78.0,APP,Manual Stop,Pass,,實際電流會大於需求電流,da_ke_yun,CD,1,CD_da_ke_yun_001,0.15,0.08
成都,1,2026-03-09,大邑县铭奇快速充电站,UC01_CC_DC_AC_Sessions,Normal Test,太能沖,成都智邦科技有限公司,DC,220.0,250.0,100.0,Scan QR Code,0.0,2026-03-09 13:04:35,69.0,2026-03-09 13:07:31,71.0,LAT,Manual Stop,Pass,,,tai_neng_chong,CD,1,CD_tai_neng_chong_001,,
成都,1,2026-03-09,蒲江亿谦充电站3号桩,UC01_CC_DC_AC_Sessions,Normal Test,億謙,广东尚晟新能源科技有限公司,DC,1000.0,400.0,120.0,Scan QR Code,1.0,2026-03-09 14:35:52,56.0,2026-03-09 14:40:33,59.0,LAT,Manual Stop,Pass,,,yi_qian,CD,1,CD_yi_qian_001,,
成都,1,2026-03-09,石羊场汽车充换电站,UC01_CC_DC_AC_Sessions,"Station Inaccessible (Access Control, Construction, etc.)",Unknown,,,,,,,,,,,,,,,,,Unknown,CD,1,CD_Unknown_001,,
成都,1,2026-03-09,億天宸新能源充電站,UC01_CC_DC_AC_Sessions,Normal Test,億天宸,深圳市永联科技股份有限公司,DC,1000.0,500.0,320.0,Scan QR Code,1.0,2026-03-09 15:58:33,43.0,2026-03-09 16:04:03,46.0,CID,Manual Stop,Pass,,場站cpo無法使用 只能使用雲快充啟動 二維碼失效,yi_tian_chen,CD,1,CD_yi_tian_chen_001,,
成都,1,2026-03-09,理想超级充电站(理想超充站成都高新新园大道),UC01_CC_DC_AC_Sessions,"Station Inaccessible (Access Control, Construction, etc.)",Unknown,,,,,,,,,,,,,,,,,Unknown,CD,2,CD_Unknown_002,,
成都,1,2026-03-09,仁和云朵超充站,UC01_CC_DC_AC_Sessions,Normal Test,仁和云朵,深圳市永联科技股份有限公司,DC,1000.0,500.0,320.0,Scan QR Code,1.0,,45.0,2026-03-09 16:24:38,48.0,LAT,Manual Stop,Pass,,開始時間16:22,ren_he_yun_duo,CD,1,CD_ren_he_yun_duo_001,,
成都,1,2026-03-09,特来电川能综能-天府国际金融中心充电站,UC01_CC_DC_AC_Sessions,Normal Test,四川能源,青岛特来电新能源科技有限公司,DC,1000.0,600.0,600.0,Scan QR Code,1.0,,46.0,2026-03-09 17:03:05,51.0,LAT,Manual Stop,Pass,,,si_chuan_neng_yuan,CD,1,CD_si_chuan_neng_yuan_001,,
成都,1,2026-03-09,特来电中国华商金融中心充电站,UC01_CC_DC_AC_Sessions,Normal Test,崑崙網電,深圳市科华恒盛科技有限公司,DC,1000.0,400.0,120.0,Scan QR Code,1.0,,50.0,,51.0,CID,Manual Stop,Pass,,開始結束時間17:16，17:18,kun_lun_wang_dian,CD,1,CD_kun_lun_wang_dian_001,,
成都,1,2026-03-09,中國石油,UC01_CC_DC_AC_Sessions,Normal Test,中國石油 金融中心站,深圳市科华恒盛科技有限公司,AC,220.0,32.0,,Scan QR Code,0.0,2026-03-09 17:23:19,51.0,2026-03-09 17:25:03,52.0,CID,Manual Stop,Pass,,,zhong_guo_shi_you_jin_rong_zhong_xin_zhan,CD,1,CD_zhong_guo_shi_you_jin_rong_zhong_xin_zhan_001,,
