City,Day,Date,Station Name,Use Case,Status,CPO,Manufacturer,MODEL,Voltage(V),Current(A),Power(kW),Start Method,Has_12A_24A,Start Time,Start SoC(%),End Time,End SoC(%),End Method,Test Result,Remark,Station_ID
广州,1.0,11/28/25,广州城投（花城广场南区）充电站,DC_UC4_17460724,Normal Test,GZ Chengtou/城投充电,许记/Xuji,DC,750.0,120.0,90.0,掃描 QRcode,,11/28/25 11:19,36.0,11/28/25 11:24,37.0,APP,Pass,在內部發現空位,GZ_unknown_cpo_001
广州,1.0,11/28/25,小鹏汽车充电站(小鹏超充广州国际金融中心IFC站),DC_UC5_17460720,Normal Test,CAMS,CAMS,,,,,掃描 QRcode,,11/28/25 11:49,36.0,11/28/25 11:54,40.0,APP,Pass,同一区域内发现开麦斯,GZ_unknown_cpo_002
广州,1.0,11/28/25,小鹏汽车充电站(小鹏超充广州国际金融中心IFC站),DC_UC4_17460724,Normal Test,Xpeng,East/易事特集团股份有限公司,HDC,1000.0,250.0,250.0,掃描 QRcode,,11/28/25 12:07,40.0,11/28/25 12:10,42.0,APP,Pass,该 USE CASE 测试时固定三分钟,GZ_unknown_cpo_003
广州,1.0,11/28/25,IONCHI(小鹏超充广州国际金融中心IFC站),DC_UC5_17460720,Normal Test,IONCHI,英飞源/INFY,HPC,1000.0,600.0,600.0,掃描 QRcode,,11/28/25 12:19,42.0,11/28/25 12:23,50.0,APP,Pass,同一地點發現逸安啟 設置目標充電至 50%,GZ_unknown_cpo_004
广州,1.0,11/28/25,小朗充电-广州市妇女儿童医疗中心充电站,DC_UC5_17460720,Site Issue,小朗/Xiaolang,,,,,,,,,,,,,,該地區不適合測試 以後去掉 POI 醫院位置,GZ_unknown_cpo_005
广州,1.0,11/28/25,广汽能源汽车充电站(广汽昊铂广州珠江公园超充站),DC_UC6_17460721,Normal Test,XDT/GAC,万城万冲新能源科技有限公司/WCWC,HPC,1000.0,250.0,360.0,掃描 QRcode,,11/28/25 13:22,46.0,11/28/25 13:27,54.0,LAT,Pass,"差槍後沒有及時掃碼,app display 360KW  but charger only 120 KW",GZ_unknown_cpo_006
广州,1.0,11/28/25,蔚来能源目的地充电站(内部使用广州天銮广场),DC_UC6_17460721,Site Issue,NIO,NIO,,,,,,,,,,,,,不對外開放,GZ_unknown_cpo_007
广州,1.0,11/28/25,维杰斯通充电站-慢充,DC_UC6_17460721,Normal Test,維傑斯/Vajesta,新亞東方電能科技有限公司,DC,750.0,240.0,120.0,掃描 QRcode,,11/28/25 14:45,44.0,11/28/25 14:48,50.0,LAT,Pass,發現額外 DC 站 修改紀錄時間,GZ_unknown_cpo_008
广州,1.0,11/28/25,维杰斯通充电站,AC_UC1_17460722,Normal Test,維傑斯/Vajesta,新亞東方電能科技有限公司,AC,220.0,32.0,7.0,掃描 QRcode,,11/28/25 14:53,50.0,11/28/25 14:59,50.0,APP,Pass,發現額外 DC 站 修改紀錄時間,GZ_unknown_cpo_009
广州,1.0,11/28/25,好充穗盐西充电站,DC_UC4_17460724,Normal Test,好充/Godd charging,鴻嘉利新能源有限公司,DC,750.0,250.0,120.0,掃描 QRcode,,11/28/25 17:05,36.0,11/28/25 17:08,38.0,APP,Pass,到達導航位置並未發現比亞迪充電站<選擇測試旁邊的 好充快充充電站,GZ_unknown_cpo_010
广州,1.0,11/28/25,好充穗盐西充电站,DC_UC4_17460724,Normal Test,好充/Godd charging,鴻嘉利新能源有限公司,DC,750.0,250.0,120.0,掃描 QRcode,,11/28/25 17:11,38.0,11/28/25 17:14,42.0,APP,Pass,好充快充电站的第二次测试纪录，换一个不同的充电桩以同样的 use case 测试2025-11-29,GZ_unknown_cpo_010
广州,2.0,11/29/25,天河平云路智慧超充站,DC_UC4_17460724,Normal Test,英非,深圳科陆电子科技有限公司,DC,1000.0,250.0,250.0,掃描 QRcode,,11/29/25 9:59,34.0,11/29/25 10:00,38.0,LAT,Pass,七号樁 B 枪,GZ_unknown_cpo_011
广州,2.0,11/29/25,天河平云路智慧超充站,DC_UC4_17460724,Normal Test,快電,深圳科路电子科技股份有限公司,DC,500.0,200.0,120.0,掃描 QRcode,,11/29/25 10:06,38.0,11/29/25 10:10,41.0,APP,Pass,8号樁 A 枪,GZ_unknown_cpo_012
广州,2.0,11/29/25,同创仑头充电站,DC_UC5_17460720,Normal Test,BP,深圳是科华恒盛科技有限公司,DC,750.0,250.0,120.0,掃描 QRcode,,11/29/25 10:24,41.0,11/29/25 10:28,45.0,reached target SOC,Pass,BP 29 号电枪,GZ_unknown_cpo_013
广州,2.0,11/29/25,同创仑头充电站,DC_UC6_17460721,Normal Test,BP,富阳中恒电器公司,DC,750.0,250.0,120.0,掃描 QRcode,,11/29/25 10:38,45.0,11/29/25 10:44,51.0,LAT,Pass,"BP17 号充电桩 32号电枪, 充電過程中 charge stripe 無法回到 home page. ",GZ_unknown_cpo_013
广州,2.0,11/29/25,天河平云路智慧超充站,DC_UC5_17460720,Normal Test,NIO,NIO,HPC,1000.0,660.0,500.0,掃描 QRcode,,11/29/25 10:52,51.0,11/29/25 10:58,53.0,reached target SOC,Pass,功率太低重新測試,GZ_unknown_cpo_014
广州,2.0,11/29/25,天河平云路智慧超充站,DC_UC5_17460720,Normal Test,NIO,NIO,HPC,1000.0,660.0,500.0,掃描 QRcode,,11/29/25 11:00,53.0,11/29/25 11:03,55.0,reached target SOC,Pass,成功達到 55%,GZ_unknown_cpo_014
广州,2.0,11/29/25,广州珠江新城潭村新创超级充电站,DC_UC4_17460724,Normal Test,新创能源,WIN Engrgy,DC,1000.0,250.0,120.0,掃描 QRcode,,11/29/25 11:11,55.0,11/29/25 11:14,59.0,APP,Pass,,GZ_unknown_cpo_015
广州,2.0,11/29/25,广州珠江新城潭村新创超级充电站,DC_UC6_17460721,Normal Test,新创能源,WIN Engrgy,DC,750.0,250.0,180.0,掃描 QRcode,,11/29/25 11:21,58.0,11/29/25 11:28,66.0,reached target SOC,Pass,19號樁B槍,GZ_unknown_cpo_015
广州,2.0,11/29/25,天河平云路智慧超充站,DC_UC6_17460721,Normal Test,AINO,万城万冲新能源科技有限公司/WCWC,HPC,1000.0,250.0,180.0,掃描 QRcode,,11/29/25 11:36,66.0,11/29/25 11:42,75.0,reached target SOC,Pass,11号樁,GZ_unknown_cpo_016
广州,2.0,11/29/25,广州长大展示中心极充站,DC_UC4_17460724,Normal Test,順義衝,許繼電源有限公司,HPC,1000.0,250.0,250.0,掃描 QRcode,,11/29/25 13:05,67.0,11/29/25 13:09,69.0,reached target SOC,Pass,极客，此次测试充电桩功率只到 100A. 同时充电车辆 5 台车 8 把枪,GZ_unknown_cpo_017
广州,2.0,11/29/25,广州长大展示中心极充站,DC_UC6_17460721,Normal Test,ZEEKR,浩瀚能源科技有限公司,HPC,750.0,67.0,20.0,掃描 QRcode,,11/29/25 13:22,69.0,11/29/25 13:09,,APP,Failed,极客，第二次測試,GZ_unknown_cpo_018
广州,2.0,11/29/25,广州长大展示中心极充站,DC_UC6_17460721,Normal Test,ZEEKR,浩瀚能源科技有限公司,HPC,750.0,67.0,20.0,掃描 QRcode,,11/29/25 13:31,69.0,11/29/25 13:37,70.0,APP,Pass,极客，第二次测试，使用桩 NO7.  坏桩 NO3,GZ_unknown_cpo_018
广州,2.0,11/29/25,广州长大展示中心极充站,DC_UC5_17460720,Normal Test,ZEEKR,浩瀚能源科技有限公司,HPC,1000.0,,360.0,掃描 QRcode,,11/29/25 13:45,70.0,11/29/25 13:49,75.0,reached target SOC,Pass,"停車位為 004, 但是 ZEEKR 的充電線較短，默認充電位置為車子左側。因此寶馬車主需要確認的是有兩個連續空位",GZ_unknown_cpo_018
广州,2.0,11/29/25,广州长大展示中心极充站,DC_UC5_17460720,Normal Test,ZEEKR,浩瀚能源科技有限公司,HPC,1000.0,,360.0,掃描 QRcode,,11/29/25 13:45,70.0,11/29/25 13:49,75.0,reached target SOC,Pass,"停車位為 004, 但是 ZEEKR 的充電線較短，默認充電位置為車子左側。因此寶馬車主需要確認的是有兩個連續空位",GZ_unknown_cpo_018
广州,2.0,11/29/25,广汽能源广州白云泓泰广场超充站,DC_UC4_17460724,Normal Test,Li Auto,SC/万邦数字能源股份有限公司,HPC,1000.0,250.0,250.0,掃描 QRcode,,11/29/25 14:20,72.0,11/29/25 14:23,76.0,CID,Pass,,GZ_unknown_cpo_019
广州,2.0,11/29/25,广汽能源广州白云泓泰广场超充站,DC_UC4_17460724,Normal Test,GAC,廣汽能源科技有限公司,HPC,1000.0,250.0,480.0,掃描 QRcode,,11/29/25 14:43,76.0,11/29/25 14:46,79.0,LAT,Pass,1 號裝 B 槍 設備離線。,GZ_unknown_cpo_020
广州,3.0,11/30/25,依偎能源汽車充電站（騏利廣場）,AC_UC1_17460722,Abnormal(Charger broken),EV Power,EV Power,,,,,掃描 QRcode,,11/30/25 11:26,69.0,11/30/25 11:34,69.0,APP,Failed,充电桩坏损,GZ_unknown_cpo_021
广州,3.0,11/30/25,周门充电站,DC_UC5_17460720,Normal Test,周门充电站,Sinexcel/深圳市盛宏电器股份有限公司,DC,380.0,258.0,160.0,掃描 QRcode,,11/30/25 12:45,64.0,11/30/25 12:45,70.0,APP,Pass,需要重新记录开始时间,GZ_unknown_cpo_022
广州,3.0,11/30/25,石化易電,DC_UC4_17460724,Normal Test,石化易電,East/易事特集团股份有限公司,HPC,1000.0,480.0,480.0,掃描 QRcode,,11/30/25 14:51,66.0,11/30/25 14:54,70.0,APP,Pass,,GZ_unknown_cpo_023
广州,3.0,11/30/25,石化易電,DC_UC4_17460724,Normal Test,石化易電,East/易事特集团股份有限公司,HPC,1000.0,600.0,480.0,掃描 QRcode,,11/30/25 14:58,70.0,11/30/25 15:02,74.0,APP,Pass,與上一條同樣的充電樁，兩個槍不同的功率,GZ_unknown_cpo_023
广州,4.0,12/1/25,IONCHI Phase2 Station 广州汉银广场,,Normal Test,IONCHI,英飛源,HPC,1000.0,600.0,600.0,掃描 Qrcode,,12/1/25 22:38,0.0,12/1/25 22:39,0.0,APP,Pass,Demand current is only 500A,GZ_unknown_cpo_024
广州,4.0,12/1/25,IONCHI Phase2 Station 广州汉银广场,,Normal Test,IONCHI,英飛源,HPC,1000.0,600.0,600.0,掃描 QRcode,,12/1/25 22:41,1.0,12/1/25 22:46,10.0,CID,Pass,Demand current is only 500A,GZ_unknown_cpo_024
广州,5.0,12/2/25,冠伟大厦充电站,DC_UC4_17460724,Normal Test,快來衝汽車充電站,杭州奧能電源設備設備有限公司,HPC,1000.0,250.0,250.0,掃描 QRcode,,12/2/25 10:51,6.0,12/2/25 10:54,10.0,APP,Pass,停車場路非常狹小,GZ_unknown_cpo_025
广州,5.0,12/2/25,冠伟大厦充电站,DC_UC4_17460724,Normal Test,快來衝汽車充電站,杭州奧能電源設備設備有限公司,HPC,1000.0,600.0,600.0,掃描 QRcode,,12/2/25 10:58,7.0,12/2/25 11:04,11.0,APP,Pass,停車場路非常狹小 兩個都沒有 24 幅選項,GZ_unknown_cpo_025
广州,5.0,12/2/25,东宏国际广场充电站交流区,DC_UC6_17460721,Normal Test,萬城萬沖,广州万城万冲新能源科技有限公司,DC,750.0,150.0,60.0,掃描 QRcode,,12/2/25 11:23,10.0,12/2/25 11:32,17.0,APP,Pass,停車場路非常狹小 兩個都沒有 24 幅選項,GZ_unknown_cpo_026
广州,5.0,12/2/25,东宏国际广场充电站交流区,AC_UC1_17460722,Normal Test,萬城萬沖,广州万城万冲新能源科技有限公司,AC,220.0,32.0,7.0,掃描 QRcode,,12/2/25 11:38,17.0,12/2/25 11:39,16.0,APP,Pass,該場站內除了 AC 樁外都沒有 PLATE,GZ_unknown_cpo_026
广州,5.0,12/2/25,海珠区保利叁悦A塔充电站,DC_UC5_17460720,Normal Test,鵬輝充電,深圳市永聯科技股份有限公司,DC,750.0,366.0,120.0,掃描 QRcode,,12/2/25 11:53,15.0,12/2/25 12:01,20.0,reached target SOC,Pass,附近有好吃的銀記腸粉,GZ_unknown_cpo_027
