station_name,longitude,latitude
大充新都锦水苑充电站,104.141662,30.797725
石羊场汽车充换电站,104.036956,30.585228
億天宸新能源充電站,104.503179,30.423869
特来电川能综能-天府国际金融中心充电站,104.066006,30.58237
特来电中国华商金融中心充电站,104.063209,30.581423
高盛公馆充电站,104.063266,30.578026
无诤摩方购物中心充电站,104.053378,30.58304
小鵬超級充電站（都江堰）,104.070591,30.593309
特斯拉(成都仁和新城城市展厅),104.16335,30.776897
億豐匯超級充電站,104.097394,30.621823
Shell 殼牌,103.994122,30.547094
云快充汽车充电站(银木佳苑充电站),104.148896,30.589482
百源智联充电站(成都市龙泉普洛斯),104.190641,30.534144
新电途汽车充电站(壹电蜀福卡充电站),104.286448,30.859371
领充双流示范充电站,103.925425,30.558032
惠程科技汽车充电站(商程新能源武侯区水韵园),103.960109,30.610218
蜀道新能源汽车充电站(万贯商城充电站项目),104.003808,30.65195
特瓦特汽车充电站(特瓦特高新宜家超充站),104.013176,30.468523
昊柏充電站,104.097394,30.621823
极氪能源超级充电站(成都凯旋南城超充站),104.090278,30.643287
国家电网汽车充电站(四川省成都市高新区府城大道西段355号石羊充电站),104.057218,30.58805
太空充电汽车充电站(白羊座行星超能舱成都港汇天地),104.094421,30.670703
蔚来能源超级充电站(成都麓湖海浪公园),104.078284,30.521742
南方电网汽车充电站(万纬成都天府物流园充电站),104.17209,30.524163
中装天如(环球都汇充电站),104.109745,30.633307
广汽能源汽车充电站(广汽昊铂成都旭辉广场超充站),104.053124,30.557686
成都招商大魔方充電站,104.071368,30.572966
大潤發理想超級充電站,103.903361,30.790225
驢充充充電站,104.097394,30.621823
快鰻充電站,104.097394,30.621823
特斯拉超級充電站,104.067442,30.552568
眉山服務區汽車充電站,104.030091,31.026171
衛萊電充電站,104.097394,30.621823
逸安启超充站-成都仁和新城,104.052373,30.587623
比亚迪闪充汽车充电站(领汇重庆众迈4S店),104.095378,30.58621
重庆能投云杉智慧双龙路充电站,104.083533,30.59606
迅電充電站,104.097394,30.621823
