station_id,city,cpo,seq,has_pile_left,has_pile_right,has_gun,has_plate,missing,others_count
GZ_AION_001,GZ,AION,001,True,True,True,True,,0
GZ_BP_001,GZ,BP,001,True,False,True,True,pile_right,0
GZ_BP_002,GZ,BP,002,True,True,True,True,,0
GZ_BP_003,GZ,BP,003,True,False,True,True,pile_right,0
GZ_CAMS_001,GZ,CAMS,001,True,True,True,False,plate,1
GZ_CHEDIANWANG_001,GZ,Chedianwang,001,True,True,False,True,gun,0
GZ_CHENGTOU_001,GZ,Chengtou,001,True,True,False,True,gun,1
GZ_ELEPHANTCHARGING_001,GZ,ElephantCharging,001,True,True,True,True,,0
GZ_FASITE_001,GZ,Fasite,001,True,True,True,True,,1
GZ_GAC_001,GZ,GAC,001,True,True,True,True,,0
GZ_GAC_002,GZ,GAC,002,True,True,True,True,,0
GZ_GAC_003,GZ,GAC,003,False,False,False,True,pile_left;pile_right;gun,0
GZ_GAC_004,GZ,GAC,004,False,False,False,True,pile_left;pile_right;gun,0
GZ_GZCHENGTOU_001,GZ,GZChengtou,001,True,True,True,True,,2
GZ_GUANGZHOUFAZHAN_001,GZ,Guangzhoufazhan,001,True,False,True,True,pile_right,2
GZ_GUANGZHOUFAZHAN_002,GZ,Guangzhoufazhan,002,True,False,True,True,pile_right,0
GZ_GUONENGANCHU_001,GZ,Guonenganchu,001,True,True,True,True,,0
GZ_HAOCHONG_001,GZ,Haochong,001,True,False,False,True,pile_right;gun,0
GZ_HUAWEI_001,GZ,Huawei,001,True,True,False,True,gun,1
GZ_HUAWEI_002,GZ,Huawei,002,True,True,False,False,gun;plate,1
GZ_IONCHI_001,GZ,IONCHI,001,True,False,False,True,pile_right;gun,0
GZ_IONCHI_002,GZ,IONCHI,002,False,False,False,True,pile_left;pile_right;gun,4
GZ_JIEDIANTONG_001,GZ,Jiediantong,001,True,False,True,True,pile_right,1
GZ_JIEDIANTONG_002,GZ,Jiediantong,002,True,False,True,True,pile_right,0
GZ_JIEDIANTONG_003,GZ,Jiediantong,003,True,False,True,True,pile_right,0
GZ_KUAIDIAN_001,GZ,Kuaidian,001,True,False,True,True,pile_right,1
GZ_KUAILAICHONG_001,GZ,Kuailaichong,001,True,True,True,True,,1
GZ_KUAILAICHONG_002,GZ,Kuailaichong,002,False,True,True,True,pile_left,1
GZ_LIAUTO_001,GZ,LiAuto,001,False,False,False,False,pile_left;pile_right;gun;plate,0
GZ_MB_001,GZ,MB,001,True,False,True,True,pile_right,8
GZ_NIO_001,GZ,Nio,001,True,True,False,True,gun,0
GZ_NIO_002,GZ,Nio,002,True,True,False,False,gun;plate,0
GZ_PENGHUI_001,GZ,Penghui,001,True,True,True,True,,0
GZ_SHELLRECHARGE_001,GZ,ShellRecharge,001,False,False,True,False,pile_left;pile_right;plate,1
GZ_SHELLRECHARGE_002,GZ,ShellRecharge,002,False,True,False,True,pile_left;gun,1
GZ_SHELLRECHARGE_003,GZ,ShellRecharge,003,True,False,True,True,pile_right,0
GZ_SHUNYICHONG_001,GZ,Shunyichong,001,True,False,True,True,pile_right,1
GZ_SINOPEC_001,GZ,Sinopec,001,True,True,False,True,gun,0
GZ_SOUTHGIRD_001,GZ,SouthGird,001,True,True,False,True,gun,1
GZ_SOUTHGIRD_002,GZ,SouthGird,002,True,True,False,False,gun;plate,0
GZ_TELD_001,GZ,Teld,001,True,True,True,True,,2
GZ_TESLA_001,GZ,Tesla,001,True,True,False,True,gun,2
GZ_TEWATE_001,GZ,Tewate,001,True,True,False,False,gun;plate,0
GZ_VAJESTA_001,GZ,Vajesta,001,True,False,False,True,pile_right;gun,0
GZ_VAJESTA_002,GZ,Vajesta,002,True,False,False,True,pile_right;gun,0
GZ_WCWC_001,GZ,WCWC,001,True,False,True,False,pile_right;plate,0
GZ_WCWC_002,GZ,WCWC,002,True,True,False,True,gun,0
GZ_WEIJINGYUN_001,GZ,Weijingyun,001,True,False,False,True,pile_right;gun,0
GZ_WINENERGY_001,GZ,WinEnergy,001,True,True,True,False,plate,1
GZ_WINENERGY_002,GZ,WinEnergy,002,True,True,True,True,,0
GZ_XIAOJU_001,GZ,Xiaoju,001,True,True,True,False,plate,1
GZ_XIAOJU_002,GZ,Xiaoju,002,True,True,True,True,,0
GZ_XIAOJU_003,GZ,Xiaoju,003,True,True,True,True,,1
GZ_XIAOJU_004,GZ,Xiaoju,004,True,False,False,True,pile_right;gun,0
GZ_XIAOJU_005,GZ,Xiaoju,005,True,True,True,True,,0
GZ_XIAOJU_006,GZ,Xiaoju,006,False,False,False,True,pile_left;pile_right;gun,0
GZ_XPENG_001,GZ,Xpeng,001,True,True,True,False,plate,0
GZ_XPENG_002,GZ,Xpeng,002,False,False,True,True,pile_left;pile_right,0
GZ_XPENG_003,GZ,Xpeng,003,False,False,False,True,pile_left;pile_right;gun,0
GZ_YKC_001,GZ,YKC,001,False,True,False,True,pile_left;gun,0
GZ_YILIXIN_001,GZ,Yilixin,001,True,True,False,True,gun,0
GZ_YINFEI_001,GZ,Yinfei,001,True,True,True,True,,1
GZ_YIZHIAN_001,GZ,Yizhian,001,True,True,True,True,,0
GZ_YIZHIAN_002,GZ,Yizhian,002,True,False,False,True,pile_right;gun,1
GZ_YUANLIWUXIAN_001,GZ,Yuanliwuxian,001,True,True,False,True,gun,2
GZ_ZHUHAIYILIAN_001,GZ,ZhuhaiYilian,001,True,True,False,False,gun;plate,0
GZ_ZEEKR_001,GZ,zeekr,001,True,True,False,True,gun,0
GZ_ZEEKR_002,GZ,zeekr,002,True,True,False,False,gun;plate,0
