provider_place_id,name,longitude,latitude,street,region,city,operator_name,num_dc_charge_points,num_ac_charge_points,max_dc_power,max_dc_amps,max_dc_volts,max_ac_power,max_ac_amps,max_ac_volts,typcn_count,typcndc_count,station_name,district,p_ingestday,Is_DC,Is_AC,Is_Mixed,Faulty_Station,station_type,brand_power_combination,station_type_str,dist_to_hotel_km
101437000_31367,快充 小桔充电,104.054031,30.583479,石羊场街道交子大道500号 地下停车场B2,四川省,成都市,小桔充电,52,0,250.0,250.0,1000.0,,,,,52.0,无诤摩方购物中心充电站,武侯区,2025-08-30,True,False,False,False,High power charging,小桔充电 - High power charging,High power charging,0.34264800615990365
MADD8G2W4_5101070006,超充/快充 逸安启,104.052709,30.587187,府城大道西段505号,四川省,成都市,逸安启,6,0,600.0,600.0,1000.0,,,,,6.0,逸安启超充站-成都仁和新城,武侯区,2025-08-30,True,False,False,False,High power charging,逸安启 - High power charging,High power charging,0.6528182964688349
MA59G0765_120831,快充 蔚景云,104.041698,30.591557,石羊街道新园南二路成都高新技术产业开发区(南区),四川省,成都市,蔚景云,80,0,120.0,250.0,750.0,,,,,80.0,石羊场汽车充换电站,武侯区,2025-08-30,True,False,False,False,Ultra fast charging,蔚景云 - Ultra fast charging,Ultra fast charging,1.7888921172010726
MACYCXCNX_3A41E7B46C1247D1B3B56B79E0F5355D,快充 愉秒充,104.040836,30.592976,成都市高新区新园大道3号售楼部停车场,四川省,成都市,愉秒充,40,0,600.0,600.0,1000.0,,,,,40.0,愉秒充新园大道充电站,武侯区,2025-08-30,True,False,False,False,High power charging,愉秒充 - High power charging,High power charging,1.944277391966239
MA1MY0GF9_113601,快充 云快充,104.035385,30.591964,新园南四路75号,四川省,成都市,云快充,20,0,120.0,250.0,750.0,,,,,20.0,岳华新能源展翔充电站,武侯区,2025-08-30,True,False,False,False,Ultra fast charging,云快充 - Ultra fast charging,Ultra fast charging,2.3430898101659268
313744932_9456837,快充 星星充电,104.039125,30.580127,高新区石羊街道仁和东街2号附5-3号,四川省,成都市,星星充电,78,0,160.0,250.0,1000.0,,,,,78.0,仁和云朵超充站,武侯区,2025-08-30,True,False,False,False,High power charging,星星充电 - High power charging,High power charging,1.7968837872090742
395815801_5101070058,快充 特来电,104.063662,30.580435,四川省成都市高新区桂溪街道益州东二路成都高新技术产业开发区(南区),四川省,成都市,特来电,6,0,135.0,250.0,500.0,,,,,6.0,特来电中国华商金融中心充电站,武侯区,2025-08-30,True,False,False,False,Ultra fast charging,特来电 - Ultra fast charging,Ultra fast charging,0.6521886649217143
395815801_5101071610,超充/快充 特来电,104.064782,30.580071,桂溪街道天府大道北段895号天府国际金融中心,四川省,成都市,特来电,37,0,600.0,600.0,1000.0,,,,,37.0,特来电川能综能-天府国际金融中心充电站,武侯区,2025-08-30,True,False,False,False,High power charging,特来电 - High power charging,High power charging,0.7662386647070761
101437000_39205,快充 小桔充电,104.063699,30.577704,桂溪街道蜀锦路高盛金融中心,四川省,成都市,小桔充电,20,0,120.0,250.0,1000.0,,,,,20.0,高盛公馆充电站,武侯区,2025-08-30,True,False,False,False,Ultra fast charging,小桔充电 - Ultra fast charging,Ultra fast charging,0.8367836720524281
MA5DLDKY3_1586,快充 润诚达,104.065608,30.57059,四川省成都市武侯区环球东路,四川省,成都市,润诚达,50,0,180.0,250.0,1000.0,,,,,50.0,蓝电快充环球中心充电站,武侯区,2025-08-30,True,False,False,False,High power charging,润诚达 - High power charging,High power charging,1.587099282841465
MA6CC86B4_41,快充 中装天如,104.068063,30.5498,高新区通威国际中心负二楼,四川省,成都市,中装天如,30,0,120.0,250.0,750.0,,,,,30.0,中装天如通威国际中心充电站,武侯区,2025-08-30,True,False,False,False,Ultra fast charging,中装天如 - Ultra fast charging,Ultra fast charging,3.834052581298897
MA6ABC9W9_110,快充 太能充,104.066974,30.545616,"-成都市-武侯区,街道升华路新希望国际B座",四川省,成都市,太能充,20,0,120.0,250.0,600.0,,,,,20.0,太乙新希望国际B1座地面充电站,武侯区,2025-08-30,True,False,False,False,Ultra fast charging,太能充 - Ultra fast charging,Ultra fast charging,4.261586630920888
MAC65JAA9_510107020000-00001,慢充 朗新新能源,104.05979,30.54965,云华路333号,四川省,成都市,朗新新能源,0,40,,,,7.0,32.0,220.0,40.0,,小朗充电-国家西部信息安全产业基地充电站【仅对内开放】,武侯区,2025-08-30,False,True,False,False,Slow AC,朗新新能源 - Slow AC,Slow AC,3.7230467747603813
MA04D0DUX_000000000070,快充 太空充电,104.058466,30.536966,高新区天府五街999号港汇天地停车场负三层C区,四川省,成都市,太空充电,8,0,180.0,240.0,750.0,,,,,8.0,白羊座行星超能舱（成都港汇天地）,武侯区,2025-08-30,True,False,False,False,High power charging,太空充电 - High power charging,High power charging,5.128129291386828
