provider_place_id,name,longitude,latitude,street,region,city,operator_name,num_dc_charge_points,num_ac_charge_points,max_dc_power,max_dc_amps,max_dc_volts,max_ac_power,max_ac_amps,max_ac_volts,typcn_count,typcndc_count,station_name,district,p_ingestday,Is_DC,Is_AC,Is_Mixed,Faulty_Station,station_type,brand_power_combination,station_type_str,dist_to_hotel_km,UC2
101437000_7207,快充 小桔充电,106.586979,29.541652,重庆江南体育中心 江南体育中心地面停车场,重庆市,重庆市,小桔充电,30,0,120.0,250.0,750.0,,,,,30.0,BP快速充电站（重庆南岸江南体育中心）,南岸区,2025-08-30,True,False,False,False,Ultra fast charging,小桔充电 - Ultra fast charging,Ultra fast charging,inf,False
MABUL2CU6_1744647000605319169,慢充 广汽能源,106.576035,29.558973,重庆国泰广场地下停车场负3楼002-010车位,重庆市,重庆市,广汽能源,0,5,0.0,,,7.0,18.0,220.0,5.0,,昊铂重庆国泰广场目的地站,渝中区,2025-08-30,False,True,False,False,Slow AC,广汽能源 - Slow AC,Slow AC,inf,False
MABUL2CU6_1723667479978442754,快充 广汽能源,106.572004,29.570679,江北城街道金沙门路财信广场负一楼车位号263-266,重庆市,重庆市,广汽能源,4,0,240.0,18.0,1000.0,,,,,4.0,昊铂重庆财信广场超充站,江北区,2025-08-30,True,False,False,False,High power charging,广汽能源 - High power charging,High power charging,inf,True
MA5YPF3Y1_45,快充 智道,106.562794,29.578498,五简二支路地面停车场,重庆市,重庆市,智道,18,0,160.0,160.0,750.0,,,,,18.0,智道充电两岸首座充电站,江北区,2025-08-30,True,False,False,False,High power charging,智道 - High power charging,High power charging,inf,True
313744932_9470430,快充 星星充电,106.531331,29.605762,北城时光营销中心,重庆市,重庆市,星星充电,20,0,120.0,120.0,750.0,,,,,20.0,北城时光充电站,渝北区,2025-08-30,True,False,False,False,Ultra fast charging,星星充电 - Ultra fast charging,Ultra fast charging,inf,False
MA5DLDKY3_3685,快充 润诚达,106.529359,29.612583,重庆市渝北区太湖西路7号-附19号,重庆市,重庆市,润诚达,20,0,720.0,100.0,1000.0,,,,,20.0,润宝三狼国际充电站,渝北区,2025-08-30,True,False,False,False,High power charging,润诚达 - High power charging,High power charging,inf,True
MADD8G2W4_5001120013,超充/快充 逸安启,106.513955,29.616446,大竹林街道凯健健身游泳瑜伽中心华腾网球中心高科体育中心停车场,重庆市,重庆市,逸安启,4,0,600.0,600.0,1000.0,,,,,4.0,逸安启超充站-重庆高科体育中心,渝北区,2025-08-30,True,False,False,False,High power charging,逸安启 - High power charging,High power charging,inf,True
MA7D8NAU7_10020,快充 幸福千万家,106.497041,29.662167,康美街道礼兴路渝北区龙咀公园,重庆市,重庆市,幸福千万家,34,0,360.0,300.0,1200.0,,,,,34.0,【幸福千万家】渝北礼嘉充电站,渝北区,2025-08-30,True,False,False,False,High power charging,幸福千万家 - High power charging,High power charging,inf,True
MABW84FA8_ZL20240412023403000144,快充 爱众云鲲,106.526735,29.678388,卡斯马星乔汽车系统(重庆)有限公司东北88米,重庆市,重庆市,爱众云鲲,26,0,480.0,1608.0,1000.0,,,,,26.0,爱众云鲲安吉红岩物流充电站,渝北区,2025-08-30,True,False,False,False,High power charging,爱众云鲲 - High power charging,High power charging,inf,True
MA157AF20_22,快充 百源智联,106.582595,29.638257,鸳鸯街道出口加工区四路6号,重庆市,重庆市,百源智联,2,0,80.0,200.0,750.0,,,,,2.0,重庆普洛斯,渝北区,2025-08-30,True,False,False,False,Fast charging,百源智联 - Fast charging,Fast charging,inf,False
101437000_16431,快充 小桔充电,106.608702,29.626104,冠陆·两江汇谷 江北两江汇谷,重庆市,重庆市,小桔充电,20,0,250.0,250.0,1000.0,,,,,20.0,BP快速充电站（重庆江北两江汇谷）,江北区,2025-08-30,True,False,False,False,High power charging,小桔充电 - High power charging,High power charging,inf,True
MA1MY0GF9_99878,快充 云快充,106.616062,29.665029,服装城大道云尚城,重庆市,重庆市,云快充,8,0,120.0,200.0,750.0,,,,,8.0,洋葱云尚城充电站,渝北区,2025-08-30,True,False,False,False,Ultra fast charging,云快充 - Ultra fast charging,Ultra fast charging,inf,False
MA2KDUER1_151286800899252225,快充 极氪能源,106.612833,29.668696,霓裳大道25附1号中德莱茵国际地下停车场负一层080-085车位对面,重庆市,重庆市,极氪能源,10,0,20.0,,,,,,,10.0,重庆茵莱国际轻充站,渝北区,2025-08-30,True,False,False,False,DC charging,极氪能源 - DC charging,DC charging,inf,False
MA59G0765_18953,快充 蔚景云,106.650696,29.742273,双凤桥街道空港东路重庆南山仪表有限公司(空港东路),重庆市,重庆市,蔚景云,34,0,360.0,480.0,750.0,,,,,34.0,亿来电空港超级充电站,渝北区,2025-08-30,True,False,False,False,High power charging,蔚景云 - High power charging,High power charging,inf,True
070345629_51,慢充 金弦新能源,106.635758,29.557785,重庆市南岸区公园路福瑞老年公寓,重庆市,重庆市,金弦新能源,0,4,0.0,,,7.0,7.0,220.0,4.0,,鹤年堂南山中心充电站,南岸区,2025-08-30,False,True,False,False,Slow AC,金弦新能源 - Slow AC,Slow AC,inf,False
