provider_place_id,name,longitude,latitude,street,region,city,operator_name,num_dc_charge_points,num_ac_charge_points,max_dc_power,max_dc_amps,max_dc_volts,max_ac_power,max_ac_amps,max_ac_volts,typcn_count,typcndc_count,station_name,district,p_ingestday,Is_DC,Is_AC,Is_Mixed,Faulty_Station,station_type,brand_power_combination,station_type_str,dist_to_hotel_km,UC2
101437000_9375,快充 小桔充电,106.639526,26.635173,金华园街道观山湖公园东门 地面停车场,贵州省,贵阳市,小桔充电,32,0,180.0,250.0,750.0,,,,,32.0,小桔观山湖公园充电站,观山湖区,2025-08-30,True,False,False,False,High power charging,小桔充电 - High power charging,High power charging,inf,1
337359991_891251871569682432,慢充 贵州云谷,106.607153,26.650512,长岭街道下麦路,贵州省,贵阳市,贵州云谷,0,12,0.0,,,60.0,90.0,380.0,12.0,,观山湖区向黔充天田智慧产业园充电站（交流）,观山湖区,2025-08-30,False,True,False,False,Fast AC,贵州云谷 - Fast AC,Fast AC,inf,0
MA020EMFX_52011502020001,快充 达克云,106.586817,26.617656,二号路与宾阳大道交汇处,贵州省,贵阳市,达克云,60,0,90.0,150.0,750.0,,,,,60.0,观山湖商贸城充电站,观山湖区,2025-08-30,True,False,False,False,Fast charging,达克云 - Fast charging,Fast charging,inf,0
313744932_9439951,超充/快充 星星充电,106.586879,26.587051,金华镇宾阳大道,贵州省,贵阳市,星星充电,40,0,480.0,500.0,1000.0,,,,,40.0,星星充电-观山湖区宾阳大道海之锐液冷超充站,观山湖区,2025-08-30,True,False,False,False,High power charging,星星充电 - High power charging,High power charging,inf,1
MADD8G2W4_5201030001,超充/快充 逸安启,106.650263,26.593185,北京西路66号地下停车场B2层车位编号N205-N209,贵州省,贵阳市,逸安启,4,0,600.0,800.0,1000.0,,,,,4.0,逸安启超充站-贵阳数博万达广场,云岩区,2025-08-30,True,False,False,False,High power charging,逸安启 - High power charging,High power charging,inf,1
395815801_5201030071,快充 特来电,106.697714,26.57812,头桥街道罗汉营路14号（原贵州大学罗汉营校区停车场）,贵州省,贵阳市,特来电,32,0,120.0,250.0,1000.0,,,,,32.0,特来电矿能特来电罗汉营充电站,云岩区,2025-08-30,True,False,False,False,Ultra fast charging,特来电 - Ultra fast charging,Ultra fast charging,inf,0
MA1MY0GF9_177634,快充 云快充,106.709236,26.562655,遵义路与遵义巷交叉口东行200米星作停车场出入口,贵州省,贵阳市,云快充,6,0,160.0,240.0,1000.0,,,,,6.0,贵阳星作社区集中式快充桩,南明区,2025-08-30,True,False,False,False,High power charging,云快充 - High power charging,High power charging,inf,1
MA6DN07XX_4,慢充 户户充,106.710291,26.562374,碧桂园·星作地下停车场-2楼590、591车位,贵州省,贵阳市,户户充,0,4,0.0,,,115.0,,220.0,4.0,,碧桂园·星作充电站,南明区,2025-08-30,False,True,False,False,Fast AC,户户充 - Fast AC,Fast AC,inf,0
MA6DN07XX_5,快充 户户充,106.699782,26.558785,贵阳火车站人民大道大桥下,贵州省,贵阳市,户户充,32,0,115.0,129.0,220.0,,,,,32.0,铁运巷整合新能源充电站,南明区,2025-08-30,True,False,False,False,Ultra fast charging,户户充 - Ultra fast charging,Ultra fast charging,inf,0
MA020EMFX_52010202861001,快充 达克云,106.745072,26.578408,松竹苑,贵州省,贵阳市,达克云,14,0,120.0,250.0,750.0,,,,,14.0,松竹苑充电站,南明区,2025-08-30,True,False,False,False,Ultra fast charging,达克云 - Ultra fast charging,Ultra fast charging,inf,0
MA59G0765_88142,快充 蔚景云,106.759108,26.597196,中天·未来方舟E1组团外围临北京东路侧边,贵州省,贵阳市,蔚景云,38,0,250.0,250.0,750.0,,,,,38.0,环球超充未来方舟充电站,云岩区,2025-08-30,True,False,False,False,High power charging,蔚景云 - High power charging,High power charging,inf,1
MA5DT8Q54_304122018051100000000001,快充 南网电动,106.70925,26.61247,云岩区黔灵镇麻冲路云岩区早菜批发市场,贵州省,贵阳市,南网电动,12,0,300.0,250.0,750.0,,,,,12.0,贵阳蛮坡公交充电站,云岩区,2025-08-30,True,False,False,False,High power charging,南网电动 - High power charging,High power charging,inf,1
MA59G0765_67464,快充 蔚景云,106.698181,26.613611,黔灵镇盐沙大道146号保利·云山国际,贵州省,贵阳市,蔚景云,6,0,120.0,160.0,750.0,,,,,6.0,超能云山充电站,云岩区,2025-08-30,True,False,False,False,Ultra fast charging,蔚景云 - Ultra fast charging,Ultra fast charging,inf,0
MABUL2CU6_1773520723107565569,快充 广汽能源,106.744446,26.677392,火石坡食品工业园区宜大生活超市旁,贵州省,贵阳市,广汽能源,6,0,360.0,18.0,1000.0,,,,,6.0,昊铂贵阳宜大生活超市超充站,乌当区,2025-08-30,True,False,False,False,High power charging,广汽能源 - High power charging,High power charging,inf,1
MA020EMFX_52011302548003,慢充 达克云,106.656639,26.684397,同心东路展望街5号贵铝消防队停车场内,贵州省,贵阳市,达克云,0,9,0.0,,,7.0,32.0,220.0,9.0,,娘子军同心东路亿电云慢充站,白云区,2025-08-30,False,True,False,False,Slow AC,达克云 - Slow AC,Slow AC,inf,0
MA5DT8Q54_304201907290445090000109,快充 南网电动,106.634472,26.696618,白云区艳山红镇云环中路809号贵阳白云车站,贵州省,贵阳市,南网电动,96,0,120.0,150.0,750.0,,,,,96.0,白云公交充电站,白云区,2025-08-30,True,False,False,False,Ultra fast charging,南网电动 - Ultra fast charging,Ultra fast charging,inf,0
MA1MY0GF9_179806,快充 云快充,106.471836,26.587892,将军石路,贵州省,贵阳市,云快充,12,0,120.0,402.0,1000.0,,,,,12.0,清镇市百花里碧桂园充电站,清镇市,2025-08-30,True,False,False,False,Ultra fast charging,云快充 - Ultra fast charging,Ultra fast charging,inf,0
313744932_9442735,快充 星星充电,106.412802,26.518435,里查里诺酒店南150米,贵州省,贵阳市,星星充电,4,0,120.0,120.0,1000.0,,,,,4.0,清镇市红枫湖镇停车场充电站,清镇市,2025-08-30,True,False,False,False,Ultra fast charging,星星充电 - Ultra fast charging,Ultra fast charging,inf,0
395815801_5201110044,快充 特来电,106.654901,26.416249,甲秀南路396号美的·国宾府售楼部停车场内,贵州省,贵阳市,特来电,18,0,200.0,250.0,750.0,,,,,18.0,特来电贵阳美的国宾府充电站,花溪区,2025-08-30,True,False,False,False,High power charging,特来电 - High power charging,High power charging,inf,1
101437000_56407,快充 小桔充电,106.642405,26.389831,新电途汽车充电站(大学城星峰充电站),贵州省,贵阳市,小桔充电,22,0,120.0,250.0,750.0,,,,,22.0,大学城星峰充电站,花溪区,2025-08-30,True,False,False,False,Ultra fast charging,小桔充电 - Ultra fast charging,Ultra fast charging,inf,0
MA6AX21U4_MA5FDDGE262,快充 聚合快充,106.685335,26.499147,润锦停车场,贵州省,贵阳市,聚合快充,18,0,120.0,250.0,750.0,,,,,18.0,腾龙湾充电站,花溪区,2025-08-30,True,False,False,False,Ultra fast charging,聚合快充 - Ultra fast charging,Ultra fast charging,inf,0
MA6E3XUQ0_5201020000100070190,快充 贵州畅的,106.776603,26.53154,小碧布依族苗族乡兴业西路多彩贵州文化创意园,贵州省,贵阳市,贵州畅的,20,0,120.0,300.0,750.0,,,,,20.0,多彩贵州文创园畅的科技充电站,南明区,2025-08-30,True,False,False,False,Ultra fast charging,贵州畅的 - Ultra fast charging,Ultra fast charging,inf,0
niokdzzjs_NIO639f4d508fc17ef3,快充 蔚来,106.778543,26.542087,砂之船路，蔚来充换一体站,贵州省,贵阳市,蔚来,30,0,150.0,250.0,1000.0,,,,,30.0,贵阳太升国际蔚来超充站,南明区,2025-08-30,True,False,False,False,High power charging,蔚来 - High power charging,High power charging,inf,0
