第幾天,時間 (當日),出發地,目的地,事件,電量 (%),用時 (分),累積目標數,operator_name
1,0.0 分,成都 W 酒店,成都 W 酒店,Day 1 Start,10.00,0.0,0,
1,3.4 分,成都 W 酒店,无诤摩方购物中心充电站,Arrive 无诤摩方购物中心充电站,10.00,3.4,0,小桔充电
1,19.7 分,无诤摩方购物中心充电站,完成測試 @ 无诤摩方购物中心充电站,Test Complete,15.00,16.2,1,
1,22.0 分,无诤摩方购物中心充电站,逸安启超充站-成都仁和新城,Arrive 逸安启超充站-成都仁和新城,14.97,2.3,1,逸安启
1,38.3 分,逸安启超充站-成都仁和新城,完成測試 @ 逸安启超充站-成都仁和新城,Test Complete,19.97,16.2,2,
1,46.6 分,逸安启超充站-成都仁和新城,特来电中国华商金融中心充电站,Arrive 特来电中国华商金融中心充电站,19.88,8.3,2,特来电
1,62.8 分,特来电中国华商金融中心充电站,完成測試 @ 特来电中国华商金融中心充电站,Test Complete,24.88,16.2,3,
1,64.8 分,特来电中国华商金融中心充电站,高盛公馆充电站,Arrive 高盛公馆充电站,24.86,2.0,3,小桔充电
1,81.0 分,高盛公馆充电站,完成測試 @ 高盛公馆充电站,Test Complete,29.86,16.2,4,
1,84.9 分,高盛公馆充电站,特来电川能综能-天府国际金融中心充电站,Arrive 特来电川能综能-天府国际金融中心充电站,29.81,3.8,4,特来电
1,101.1 分,特来电川能综能-天府国际金融中心充电站,完成測試 @ 特来电川能综能-天府国际金融中心充电站,Test Complete,34.81,16.2,5,
1,109.6 分,特来电川能综能-天府国际金融中心充电站,蓝电快充环球中心充电站,Arrive 蓝电快充环球中心充电站,34.70,8.5,5,润诚达
1,125.8 分,蓝电快充环球中心充电站,完成測試 @ 蓝电快充环球中心充电站,Test Complete,39.70,16.2,6,
1,137.5 分,蓝电快充环球中心充电站,仁和云朵超充站,Arrive 仁和云朵超充站,39.50,11.7,6,星星充电
1,153.7 分,仁和云朵超充站,完成測試 @ 仁和云朵超充站,Test Complete,44.50,16.2,7,
1,160.9 分,仁和云朵超充站,愉秒充新园大道充电站,Arrive 愉秒充新园大道充电站,44.39,7.2,7,愉秒充
1,177.2 分,愉秒充新园大道充电站,完成測試 @ 愉秒充新园大道充电站,Test Complete,49.39,16.2,8,
1,178.1 分,愉秒充新园大道充电站,石羊场汽车充换电站,Arrive 石羊场汽车充换电站,49.38,0.9,8,蔚景云
1,194.4 分,石羊场汽车充换电站,完成測試 @ 石羊场汽车充换电站,Test Complete,54.38,16.2,9,
1,257.3 分,石羊场汽车充换电站,蒲江亿谦充电站3号桩,Arrive 蒲江亿谦充电站3号桩,50.53,62.9,9,亿谦电子
1,273.5 分,蒲江亿谦充电站3号桩,完成測試 @ 蒲江亿谦充电站3号桩,Test Complete,55.53,16.2,10,
1,373.0 分,蒲江亿谦充电站3号桩,大充新都锦水苑充电站,Arrive 大充新都锦水苑充电站,50.16,99.4,10,小桔充电
1,373.0 分,蒲江亿谦充电站3号桩,大充新都锦水苑充电站,Arrive 大充新都锦水苑充电站,50.16,99.4,10,库仑
1,389.2 分,大充新都锦水苑充电站,完成測試 @ 大充新都锦水苑充电站,Test Complete,55.16,16.2,11,
1,460.1 分,大充新都锦水苑充电站,大邑县铭奇快速充电站,Arrive 大邑县铭奇快速充电站,50.85,70.9,11,太能充
1,476.3 分,大邑县铭奇快速充电站,完成測試 @ 大邑县铭奇快速充电站,Test Complete,55.85,16.2,12,
1,544.9 分,大邑县铭奇快速充电站,成都 W 酒店,Day 1 End,52.49,68.6,12,
2,0.0 分,成都 W 酒店,成都 W 酒店,Day 2 Start (Overnight Discharge),13.12,0.0,12,
2,10.9 分,成都 W 酒店,昊铂成都苏宁广场超充站,Arrive 昊铂成都苏宁广场超充站,12.95,10.9,12,广汽能源
2,27.2 分,昊铂成都苏宁广场超充站,完成測試 @ 昊铂成都苏宁广场超充站,Test Complete,17.95,16.2,13,
2,41.2 分,昊铂成都苏宁广场超充站,岳华新能源展翔充电站,Arrive 岳华新能源展翔充电站,17.72,14.0,13,云快充
2,57.4 分,岳华新能源展翔充电站,完成測試 @ 岳华新能源展翔充电站,Test Complete,22.72,16.2,14,
2,65.9 分,岳华新能源展翔充电站,特瓦特海特广场超充站,Arrive 特瓦特海特广场超充站,22.53,8.5,14,特瓦特
2,82.2 分,特瓦特海特广场超充站,完成測試 @ 特瓦特海特广场超充站,Test Complete,27.53,16.2,15,
2,85.6 分,特瓦特海特广场超充站,武侯区南桥垃圾中转站充电站,Arrive 武侯区南桥垃圾中转站充电站,27.48,3.4,15,惠程科技
2,101.9 分,武侯区南桥垃圾中转站充电站,完成測試 @ 武侯区南桥垃圾中转站充电站,Test Complete,32.48,16.2,16,
2,108.1 分,武侯区南桥垃圾中转站充电站,高新区九兴大道充电站,Arrive 高新区九兴大道充电站,32.34,6.3,16,达克云
2,124.4 分,高新区九兴大道充电站,完成測試 @ 高新区九兴大道充电站,Test Complete,37.34,16.2,17,
2,126.5 分,高新区九兴大道充电站,小华充电火炬时代充电站,Arrive 小华充电火炬时代充电站,37.32,2.1,17,小华充电
2,142.8 分,小华充电火炬时代充电站,完成測試 @ 小华充电火炬时代充电站,Test Complete,42.32,16.2,18,
2,147.0 分,小华充电火炬时代充电站,延长壳牌武侯长益路充电站,Arrive 延长壳牌武侯长益路充电站,42.26,4.2,18,壳牌充电
2,163.2 分,延长壳牌武侯长益路充电站,完成測試 @ 延长壳牌武侯长益路充电站,Test Complete,47.26,16.2,19,
2,173.8 分,延长壳牌武侯长益路充电站,港投中油高升桥充电站,Arrive 港投中油高升桥充电站,47.12,10.6,19,港投中油
2,190.1 分,港投中油高升桥充电站,完成測試 @ 港投中油高升桥充电站,Test Complete,52.12,16.2,20,
2,251.8 分,港投中油高升桥充电站,蓝电快充运贸充电站,Arrive 蓝电快充运贸充电站,49.74,61.7,20,润诚达
2,268.0 分,蓝电快充运贸充电站,完成測試 @ 蓝电快充运贸充电站,Test Complete,54.74,16.2,21,
2,345.2 分,蓝电快充运贸充电站,中兢锦绣天城充电站1,Arrive 中兢锦绣天城充电站1,50.33,77.2,21,达克云
2,361.4 分,中兢锦绣天城充电站1,完成測試 @ 中兢锦绣天城充电站1,Test Complete,55.33,16.2,22,
2,453.5 分,中兢锦绣天城充电站1,国堰宾馆充电站,Arrive 国堰宾馆充电站,49.44,92.0,22,能银链
2,469.7 分,国堰宾馆充电站,完成測試 @ 国堰宾馆充电站,Test Complete,54.44,16.2,23,
2,556.6 分,国堰宾馆充电站,成都 W 酒店,Day 2 End,50.84,86.9,23,
3,0.0 分,成都 W 酒店,成都 W 酒店,Day 3 Start (Overnight Discharge),12.24,0.0,23,
3,12.9 分,成都 W 酒店,银海芯座地下充电站（不对外运营）,Arrive 银海芯座地下充电站（不对外运营）,12.03,12.9,23,壹电蜀
3,29.1 分,银海芯座地下充电站（不对外运营）,完成測試 @ 银海芯座地下充电站（不对外运营）,Test Complete,17.03,16.2,24,
3,33.6 分,银海芯座地下充电站（不对外运营）,锦美充电站,Arrive 锦美充电站,16.96,4.5,24,云快充
3,49.8 分,锦美充电站,完成測試 @ 锦美充电站,Test Complete,21.96,16.2,25,
3,60.2 分,锦美充电站,成都中和湿地公园 蔚来超充站,Arrive 成都中和湿地公园 蔚来超充站,21.74,10.4,25,蔚来
3,76.5 分,成都中和湿地公园 蔚来超充站,完成測試 @ 成都中和湿地公园 蔚来超充站,Test Complete,26.74,16.2,26,
3,96.7 分,成都中和湿地公园 蔚来超充站,太乙新希望国际B1座地面充电站,Arrive 太乙新希望国际B1座地面充电站,26.46,20.2,26,太能充
3,112.9 分,太乙新希望国际B1座地面充电站,完成測試 @ 太乙新希望国际B1座地面充电站,Test Complete,31.46,16.2,27,
3,119.5 分,太乙新希望国际B1座地面充电站,小朗充电-国家西部信息安全产业基地充电站【仅对内开放】,Arrive 小朗充电-国家西部信息安全产业基地充电站【仅对内开放】,31.40,6.5,27,朗新新能源
3,135.7 分,小朗充电-国家西部信息安全产业基地充电站【仅对内开放】,完成測試 @ 小朗充电-国家西部信息安全产业基地充电站【仅对内开放】,Test Complete,36.40,16.2,28,
3,146.3 分,小朗充电-国家西部信息安全产业基地充电站【仅对内开放】,白羊座行星超能舱（成都港汇天地）,Arrive 白羊座行星超能舱（成都港汇天地）,36.29,10.6,28,太空充电
3,162.5 分,白羊座行星超能舱（成都港汇天地）,完成測試 @ 白羊座行星超能舱（成都港汇天地）,Test Complete,41.29,16.2,29,
3,182.0 分,白羊座行星超能舱（成都港汇天地）,延长壳牌双流白家大市场充电站,Arrive 延长壳牌双流白家大市场充电站,40.92,19.5,29,壳牌充电
3,198.3 分,延长壳牌双流白家大市场充电站,完成測試 @ 延长壳牌双流白家大市场充电站,Test Complete,45.92,16.2,30,
3,208.6 分,延长壳牌双流白家大市场充电站,双鱼座卫星超能舱（成都双流茂业广场）,Arrive 双鱼座卫星超能舱（成都双流茂业广场）,45.76,10.3,30,太空充电
3,224.8 分,双鱼座卫星超能舱（成都双流茂业广场）,完成測試 @ 双鱼座卫星超能舱（成都双流茂业广场）,Test Complete,50.76,16.2,31,
3,250.1 分,双鱼座卫星超能舱（成都双流茂业广场）,四川省成都市武侯区棕树桥充电站,Arrive 四川省成都市武侯区棕树桥充电站,49.94,25.2,31,国家电网
3,266.3 分,四川省成都市武侯区棕树桥充电站,完成測試 @ 四川省成都市武侯区棕树桥充电站,Test Complete,54.94,16.2,32,
3,313.4 分,四川省成都市武侯区棕树桥充电站,愉秒充成都简阳龙湾充电站,Arrive 愉秒充成都简阳龙湾充电站,52.28,47.1,32,愉秒充
3,329.7 分,愉秒充成都简阳龙湾充电站,完成測試 @ 愉秒充成都简阳龙湾充电站,Test Complete,57.28,16.2,33,
3,395.0 分,愉秒充成都简阳龙湾充电站,AI快充成都高新西区金网通充电站,Arrive AI快充成都高新西区金网通充电站,53.32,65.3,33,能银链
3,411.2 分,AI快充成都高新西区金网通充电站,完成測試 @ AI快充成都高新西区金网通充电站,Test Complete,58.32,16.2,34,
3,466.2 分,AI快充成都高新西区金网通充电站,万纬成都天府物流园充电站,Arrive 万纬成都天府物流园充电站,56.02,54.9,34,南网电动
3,517.4 分,万纬成都天府物流园充电站,成都 W 酒店,Day 3 End,55.05,51.3,34,
4,0.0 分,成都 W 酒店,成都 W 酒店,Day 4 Start (Overnight Discharge),11.24,0.0,34,
4,21.1 分,成都 W 酒店,卓安华宇蓉国府充电站,Arrive 卓安华宇蓉国府充电站,10.90,21.1,34,星星充电
4,37.4 分,卓安华宇蓉国府充电站,完成測試 @ 卓安华宇蓉国府充电站,Test Complete,15.90,16.3,35,
4,60.4 分,卓安华宇蓉国府充电站,【鲸充】锦江区提督街120号站,Arrive 【鲸充】锦江区提督街120号站,15.63,23.0,35,江苏鲸充
4,76.7 分,【鲸充】锦江区提督街120号站,完成測試 @ 【鲸充】锦江区提督街120号站,Test Complete,20.63,16.2,36,
4,80.2 分,【鲸充】锦江区提督街120号站,昊铂成都王府井百货总府路店超充站,Arrive 昊铂成都王府井百货总府路店超充站,20.58,3.5,36,广汽能源
4,96.5 分,昊铂成都王府井百货总府路店超充站,完成測試 @ 昊铂成都王府井百货总府路店超充站,Test Complete,25.58,16.2,37,
4,110.2 分,昊铂成都王府井百货总府路店超充站,成都时代8号无诤极速充,Arrive 成都时代8号无诤极速充,25.44,13.7,37,蔚景云
4,126.4 分,成都时代8号无诤极速充,完成測試 @ 成都时代8号无诤极速充,Test Complete,30.44,16.2,38,
4,138.2 分,成都时代8号无诤极速充,成都汇泉东路 蔚来超充站,Arrive 成都汇泉东路 蔚来超充站,30.27,11.8,38,蔚来
4,154.5 分,成都汇泉东路 蔚来超充站,完成測試 @ 成都汇泉东路 蔚来超充站,Test Complete,35.27,16.2,39,
4,164.9 分,成都汇泉东路 蔚来超充站,万年场交流充电桩,Arrive 万年场交流充电桩,35.12,10.4,39,码上充
4,181.2 分,万年场交流充电桩,完成測試 @ 万年场交流充电桩,Test Complete,40.12,16.2,40,
4,212.1 分,万年场交流充电桩,大石代西姆酒店充电站,Arrive 大石代西姆酒店充电站,39.61,30.9,40,速充充电
4,228.4 分,大石代西姆酒店充电站,完成測試 @ 大石代西姆酒店充电站,Test Complete,44.61,16.2,41,
4,243.9 分,大石代西姆酒店充电站,西宸龙湖天街飞凡汽车快充站,Arrive 西宸龙湖天街飞凡汽车快充站,44.39,15.5,41,安悦充电
4,260.2 分,西宸龙湖天街飞凡汽车快充站,完成測試 @ 西宸龙湖天街飞凡汽车快充站,Test Complete,49.39,16.2,42,
4,279.9 分,西宸龙湖天街飞凡汽车快充站,万贯商城充电站项目,Arrive 万贯商城充电站项目,49.04,19.8,42,蜀道新能源
4,296.2 分,万贯商城充电站项目,完成測試 @ 万贯商城充电站项目,Test Complete,54.04,16.2,43,
4,335.8 分,万贯商城充电站项目,成都市龙泉普洛斯,Arrive 成都市龙泉普洛斯,52.25,39.6,43,百源智联
4,352.0 分,成都市龙泉普洛斯,完成測試 @ 成都市龙泉普洛斯,Test Complete,57.25,16.2,44,
4,404.1 分,成都市龙泉普洛斯,小华充电高堆路充电站,Arrive 小华充电高堆路充电站,55.06,52.1,44,小华充电
4,420.4 分,小华充电高堆路充电站,完成測試 @ 小华充电高堆路充电站,Test Complete,60.06,16.2,45,
4,464.4 分,小华充电高堆路充电站,【幸福千万家】龙泉大面充电站,Arrive 【幸福千万家】龙泉大面充电站,58.01,44.1,45,幸福千万家
4,514.9 分,【幸福千万家】龙泉大面充电站,成都 W 酒店,Day 4 End,57.14,50.5,45,
5,0.0 分,成都 W 酒店,成都 W 酒店,Day 5 Start (Overnight Discharge),12.14,0.0,45,
5,20.8 分,成都 W 酒店,成都武侯簇桥新苑一期,Arrive 成都武侯簇桥新苑一期,11.65,20.8,45,一码YiMa
5,37.1 分,成都武侯簇桥新苑一期,完成測試 @ 成都武侯簇桥新苑一期,Test Complete,16.65,16.2,46,
5,43.8 分,成都武侯簇桥新苑一期,航宸酒店充电站,Arrive 航宸酒店充电站,16.57,6.7,46,万马爱充
5,60.1 分,航宸酒店充电站,完成測試 @ 航宸酒店充电站,Test Complete,21.57,16.2,47,
5,63.6 分,航宸酒店充电站,女鞋之都直流站,Arrive 女鞋之都直流站,21.53,3.5,47,卡丘聚能
5,79.8 分,女鞋之都直流站,完成測試 @ 女鞋之都直流站,Test Complete,26.53,16.2,48,
5,94.5 分,女鞋之都直流站,成都武侯万达轻充站,Arrive 成都武侯万达轻充站,26.31,14.6,48,极氪能源
5,110.7 分,成都武侯万达轻充站,完成測試 @ 成都武侯万达轻充站,Test Complete,31.31,16.2,49,
5,141.1 分,成都武侯万达轻充站,国网成都双流西航港物流大道城市公共直流站,Arrive 国网成都双流西航港物流大道城市公共直流站,30.47,30.4,49,国家电网
5,157.4 分,国网成都双流西航港物流大道城市公共直流站,完成測試 @ 国网成都双流西航港物流大道城市公共直流站,Test Complete,35.47,16.2,50,
5,193.9 分,国网成都双流西航港物流大道城市公共直流站,【幸福千万家】龙泉大面充电站,Arrive 【幸福千万家】龙泉大面充电站,34.12,36.5,50,幸福千万家
5,210.1 分,【幸福千万家】龙泉大面充电站,完成測試 @ 【幸福千万家】龙泉大面充电站,Test Complete,39.12,16.2,51,
5,218.9 分,【幸福千万家】龙泉大面充电站,成渝电走廊暨换电重卡龙泉项目配套充电站,Arrive 成渝电走廊暨换电重卡龙泉项目配套充电站,38.96,8.8,51,蜀道新能源
5,235.2 分,成渝电走廊暨换电重卡龙泉项目配套充电站,完成測試 @ 成渝电走廊暨换电重卡龙泉项目配套充电站,Test Complete,43.96,16.2,52,
5,243.2 分,成渝电走廊暨换电重卡龙泉项目配套充电站,万纬成都天府物流园充电站,Arrive 万纬成都天府物流园充电站,43.78,8.0,52,南网电动
5,259.4 分,万纬成都天府物流园充电站,完成測試 @ 万纬成都天府物流园充电站,Test Complete,48.78,16.2,53,
5,306.0 分,万纬成都天府物流园充电站,【AI快充】四川新都兴跃物流充电站,Arrive 【AI快充】四川新都兴跃物流充电站,46.72,46.6,53,达克云
5,322.3 分,【AI快充】四川新都兴跃物流充电站,完成測試 @ 【AI快充】四川新都兴跃物流充电站,Test Complete,51.72,16.2,54,
5,531.5 分,【AI快充】四川新都兴跃物流充电站,成都 W 酒店,Day 5 End,49.84,209.2,54,
