第幾天,時間 (當日),出發地,目的地,事件,電量 (%),用時 (分),累積目標數,operator_name
1,0.0 分,重庆解放碑威斯汀酒店,重庆解放碑威斯汀酒店,Day 1 Start,10.00,0.0,0,
1,10.2 分,重庆解放碑威斯汀酒店,昊铂重庆财信广场超充站,Arrive 昊铂重庆财信广场超充站,10.00,10.2,0,广汽能源
1,26.4 分,昊铂重庆财信广场超充站,完成測試 @ 昊铂重庆财信广场超充站,Test Complete,15.00,16.2,1,
1,31.4 分,昊铂重庆财信广场超充站,智道充电两岸首座充电站,Arrive 智道充电两岸首座充电站,14.92,5.0,1,智道
1,47.6 分,智道充电两岸首座充电站,完成測試 @ 智道充电两岸首座充电站,Test Complete,19.92,16.2,2,
1,59.9 分,智道充电两岸首座充电站,上海城紫微星超级充电站,Arrive 上海城紫微星超级充电站,19.58,12.2,2,重庆交运
1,76.1 分,上海城紫微星超级充电站,完成測試 @ 上海城紫微星超级充电站,Test Complete,24.58,16.2,3,
1,93.3 分,上海城紫微星超级充电站,愉秒充九龙坡奥体金龙超充站,Arrive 愉秒充九龙坡奥体金龙超充站,24.21,17.2,3,愉秒充
1,109.6 分,愉秒充九龙坡奥体金龙超充站,完成測試 @ 愉秒充九龙坡奥体金龙超充站,Test Complete,29.21,16.2,4,
1,118.1 分,愉秒充九龙坡奥体金龙超充站,特瓦特石桥广场超充站,Arrive 特瓦特石桥广场超充站,29.06,8.5,4,特瓦特
1,134.4 分,特瓦特石桥广场超充站,完成測試 @ 特瓦特石桥广场超充站,Test Complete,34.06,16.2,5,
1,154.0 分,特瓦特石桥广场超充站,川渝充凤天大道金阳易城超充站,Arrive 川渝充凤天大道金阳易城超充站,33.75,19.6,5,能银链
1,170.2 分,川渝充凤天大道金阳易城超充站,完成測試 @ 川渝充凤天大道金阳易城超充站,Test Complete,38.75,16.2,6,
1,185.2 分,川渝充凤天大道金阳易城超充站,重庆能投龙门阵充电站,Arrive 重庆能投龙门阵充电站,38.41,15.0,6,重庆能投
1,201.5 分,重庆能投龙门阵充电站,完成測試 @ 重庆能投龙门阵充电站,Test Complete,43.41,16.2,7,
1,221.2 分,重庆能投龙门阵充电站,易安充马王场超级充电站,Arrive 易安充马王场超级充电站,42.98,19.7,7,重庆中盾
1,237.4 分,易安充马王场超级充电站,完成測試 @ 易安充马王场超级充电站,Test Complete,47.98,16.2,8,
1,254.5 分,易安充马王场超级充电站,壳牌大渡口金桥路充电站,Arrive 壳牌大渡口金桥路充电站,47.61,17.1,8,重庆壳牌
1,270.7 分,壳牌大渡口金桥路充电站,完成測試 @ 壳牌大渡口金桥路充电站,Test Complete,52.61,16.3,9,
1,319.9 分,壳牌大渡口金桥路充电站,江津区德感充电站,Arrive 江津区德感充电站,50.09,49.2,9,易安充
1,336.2 分,江津区德感充电站,完成測試 @ 江津区德感充电站,Test Complete,55.09,16.2,10,
1,426.7 分,江津区德感充电站,重庆电飞侠南神路超充站,Arrive 重庆电飞侠南神路超充站,49.24,90.5,10,小飞象
1,442.9 分,重庆电飞侠南神路超充站,完成測試 @ 重庆电飞侠南神路超充站,Test Complete,54.24,16.2,11,
1,566.8 分,重庆电飞侠南神路超充站,重庆解放碑威斯汀酒店,Day 1 End,49.25,123.8,11,
2,0.0 分,重庆解放碑威斯汀酒店,重庆解放碑威斯汀酒店,Day 2 Start (Overnight Discharge),27.97,0.0,11,
2,19.6 分,重庆解放碑威斯汀酒店,润宝三狼国际充电站,Arrive 润宝三狼国际充电站,27.47,19.6,11,润诚达
2,35.9 分,润宝三狼国际充电站,完成測試 @ 润宝三狼国际充电站,Test Complete,32.47,16.2,12,
2,45.2 分,润宝三狼国际充电站,逸安启超充站-重庆高科体育中心,Arrive 逸安启超充站-重庆高科体育中心,32.29,9.3,12,逸安启
2,61.5 分,逸安启超充站-重庆高科体育中心,完成測試 @ 逸安启超充站-重庆高科体育中心,Test Complete,37.29,16.2,13,
2,76.8 分,逸安启超充站-重庆高科体育中心,【幸福千万家】渝北礼嘉充电站,Arrive 【幸福千万家】渝北礼嘉充电站,36.94,15.4,13,幸福千万家
2,93.1 分,【幸福千万家】渝北礼嘉充电站,完成測試 @ 【幸福千万家】渝北礼嘉充电站,Test Complete,41.94,16.2,14,
2,103.1 分,【幸福千万家】渝北礼嘉充电站,爱众云鲲安吉红岩物流充电站,Arrive 爱众云鲲安吉红岩物流充电站,41.71,10.0,14,小桔充电
2,103.1 分,【幸福千万家】渝北礼嘉充电站,爱众云鲲安吉红岩物流充电站,Arrive 爱众云鲲安吉红岩物流充电站,41.71,10.0,14,爱众云鲲
2,119.4 分,爱众云鲲安吉红岩物流充电站,完成測試 @ 爱众云鲲安吉红岩物流充电站,Test Complete,46.71,16.2,15,
2,139.2 分,爱众云鲲安吉红岩物流充电站,重庆普洛斯,Arrive 重庆普洛斯,46.12,19.9,15,百源智联
2,155.5 分,重庆普洛斯,完成測試 @ 重庆普洛斯,Test Complete,51.12,16.2,16,
2,181.4 分,重庆普洛斯,驿满茶园首末公交充电站,Arrive 驿满茶园首末公交充电站,50.04,25.9,16,驿满充电
2,197.6 分,驿满茶园首末公交充电站,完成測試 @ 驿满茶园首末公交充电站,Test Complete,55.04,16.2,17,
2,293.6 分,驿满茶园首末公交充电站,【开鑫】重庆荣昌西南家具城充电站,Arrive 【开鑫】重庆荣昌西南家具城充电站,49.37,95.9,17,开鑫充电
2,293.6 分,驿满茶园首末公交充电站,【开鑫】重庆荣昌西南家具城充电站,Arrive 【开鑫】重庆荣昌西南家具城充电站,49.37,95.9,17,开鑫充
2,309.8 分,【开鑫】重庆荣昌西南家具城充电站,完成測試 @ 【开鑫】重庆荣昌西南家具城充电站,Test Complete,54.37,16.2,18,
2,379.0 分,【开鑫】重庆荣昌西南家具城充电站,亿嘉电西彭铝城大道充电站,Arrive 亿嘉电西彭铝城大道充电站,49.75,69.2,18,成都亿嘉电
2,395.2 分,亿嘉电西彭铝城大道充电站,完成測試 @ 亿嘉电西彭铝城大道充电站,Test Complete,54.75,16.2,19,
2,469.9 分,亿嘉电西彭铝城大道充电站,鲲鹏充电人民广场站,Arrive 鲲鹏充电人民广场站,49.90,74.7,19,智泊惠
2,583.8 分,鲲鹏充电人民广场站,重庆解放碑威斯汀酒店,Day 2 End,44.42,113.9,19,
3,0.0 分,重庆解放碑威斯汀酒店,重庆解放碑威斯汀酒店,Day 3 Start (Overnight Discharge),27.97,0.0,19,
3,22.8 分,重庆解放碑威斯汀酒店,滨南时代I滨南股份站,Arrive 滨南时代I滨南股份站,27.28,22.8,19,滨南时代
3,39.1 分,滨南时代I滨南股份站,完成測試 @ 滨南时代I滨南股份站,Test Complete,32.28,16.2,20,
3,65.8 分,滨南时代I滨南股份站,重庆茵莱国际轻充站,Arrive 重庆茵莱国际轻充站,31.08,26.7,20,极氪能源
3,82.0 分,重庆茵莱国际轻充站,完成測試 @ 重庆茵莱国际轻充站,Test Complete,36.08,16.2,21,
3,116.1 分,重庆茵莱国际轻充站,土主大川国际建材城小马爱冲充电站,Arrive 土主大川国际建材城小马爱冲充电站,34.61,34.1,21,重庆小马爱冲
3,132.4 分,土主大川国际建材城小马爱冲充电站,完成測試 @ 土主大川国际建材城小马爱冲充电站,Test Complete,39.61,16.2,22,
3,165.2 分,土主大川国际建材城小马爱冲充电站,易安桩新鹏达双福公交充电站,Arrive 易安桩新鹏达双福公交充电站,37.98,32.8,22,蔚景云
3,165.2 分,土主大川国际建材城小马爱冲充电站,易安桩新鹏达双福公交充电站,Arrive 易安桩新鹏达双福公交充电站,37.98,32.8,22,易安桩
3,181.4 分,易安桩新鹏达双福公交充电站,完成測試 @ 易安桩新鹏达双福公交充电站,Test Complete,42.98,16.2,23,
3,209.0 分,易安桩新鹏达双福公交充电站,渝快充丁家圆通充电站,Arrive 渝快充丁家圆通充电站,41.64,27.6,23,渝快充
3,225.3 分,渝快充丁家圆通充电站,完成測試 @ 渝快充丁家圆通充电站,Test Complete,46.64,16.2,24,
3,265.0 分,渝快充丁家圆通充电站,大雷永川长和星街充电站,Arrive 大雷永川长和星街充电站,45.24,39.7,24,达克云
3,281.2 分,大雷永川长和星街充电站,完成測試 @ 大雷永川长和星街充电站,Test Complete,50.24,16.2,25,
3,317.6 分,大雷永川长和星街充电站,【开鑫】重庆荣昌西南家具城充电站,Arrive 【开鑫】重庆荣昌西南家具城充电站,48.24,36.3,25,开鑫充电
3,317.6 分,大雷永川长和星街充电站,【开鑫】重庆荣昌西南家具城充电站,Arrive 【开鑫】重庆荣昌西南家具城充电站,48.24,36.3,25,开鑫充
3,333.8 分,【开鑫】重庆荣昌西南家具城充电站,完成測試 @ 【开鑫】重庆荣昌西南家具城充电站,Test Complete,53.24,16.2,26,
3,344.0 分,【开鑫】重庆荣昌西南家具城充电站,鲲鹏充电人民广场站,Arrive 鲲鹏充电人民广场站,53.05,10.2,26,智泊惠
3,360.3 分,鲲鹏充电人民广场站,完成測試 @ 鲲鹏充电人民广场站,Test Complete,58.05,16.2,27,
3,583.8 分,鲲鹏充电人民广场站,重庆解放碑威斯汀酒店,Day 3 End,52.57,223.6,27,
4,0.0 分,重庆解放碑威斯汀酒店,重庆解放碑威斯汀酒店,Day 4 Start (Overnight Discharge),27.97,0.0,27,
4,181.8 分,重庆解放碑威斯汀酒店,随时充万州区厦门大道充电站,Arrive 随时充万州区厦门大道充电站,15.08,181.8,27,小桔充电
4,181.8 分,重庆解放碑威斯汀酒店,随时充万州区厦门大道充电站,Arrive 随时充万州区厦门大道充电站,15.08,181.8,27,库仑
4,198.0 分,随时充万州区厦门大道充电站,完成測試 @ 随时充万州区厦门大道充电站,Test Complete,20.08,16.2,28,
4,347.4 分,随时充万州区厦门大道充电站,重庆巫山龙潭名都网约车超充站,Arrive 重庆巫山龙潭名都网约车超充站,10.76,149.4,28,吉智能源
4,363.7 分,重庆巫山龙潭名都网约车超充站,完成測試 @ 重庆巫山龙潭名都网约车超充站,Test Complete,15.76,16.2,29,
4,499.8 分,重庆巫山龙潭名都网约车超充站,進行充電 @ Current Location,Emergency Charge (After Hours),31.60,136.2,29,
4,900.3 分,重庆巫山龙潭名都网约车超充站,重庆解放碑威斯汀酒店,Day 4 End,10.00,400.5,29,
