第幾天,時間 (當日),絕對時間,出發地,目的地,出發地緯度,出發地經度,目的地緯度,目的地經度,事件,電量 (%),用時 (分),累積目標數
1,0.0 分,2025-12-01 09:00:00,成都 W 酒店,成都 W 酒店,30.583078,104.05758,30.583078,104.05758,Day 1 Start,10.00,0.0,0
1,3.4 分,2025-12-01 09:03:24,成都 W 酒店,无诤摩方购物中心充电站,30.583078,104.05758,30.64138,104.038771,Arrive 无诤摩方购物中心充电站,10.00,3.4,0
1,19.7 分,2025-12-01 09:19:42,无诤摩方购物中心充电站,完成測試 @ 无诤摩方购物中心充电站,30.64138,104.038771,30.64138,104.038771,Test Complete,15.00,16.2,1
1,22.0 分,2025-12-01 09:22:00,无诤摩方购物中心充电站,逸安启超充站-成都仁和新城,30.64138,104.038771,30.587187,104.052709,Arrive 逸安启超充站-成都仁和新城,14.97,2.3,1
1,38.3 分,2025-12-01 09:38:18,逸安启超充站-成都仁和新城,完成測試 @ 逸安启超充站-成都仁和新城,30.587187,104.052709,30.587187,104.052709,Test Complete,19.97,16.2,2
1,46.6 分,2025-12-01 09:46:36,逸安启超充站-成都仁和新城,特来电中国华商金融中心充电站,30.587187,104.052709,30.580071,104.064782,Arrive 特来电中国华商金融中心充电站,19.88,8.3,2
1,62.8 分,2025-12-01 10:02:48,特来电中国华商金融中心充电站,完成測試 @ 特来电中国华商金融中心充电站,30.580071,104.064782,30.580071,104.064782,Test Complete,24.88,16.2,3
1,64.8 分,2025-12-01 10:04:48,特来电中国华商金融中心充电站,高盛公馆充电站,30.580071,104.064782,,,Arrive 高盛公馆充电站,24.86,2.0,3
1,81.0 分,2025-12-01 10:21:00,高盛公馆充电站,完成測試 @ 高盛公馆充电站,,,,,Test Complete,29.86,16.2,4
1,84.9 分,2025-12-01 10:24:54,高盛公馆充电站,特来电川能综能-天府国际金融中心充电站,,,30.580071,104.064782,Arrive 特来电川能综能-天府国际金融中心充电站,29.81,3.8,4
1,101.1 分,2025-12-01 10:41:06,特来电川能综能-天府国际金融中心充电站,完成測試 @ 特来电川能综能-天府国际金融中心充电站,30.580071,104.064782,30.580071,104.064782,Test Complete,34.81,16.2,5
1,109.6 分,2025-12-01 10:49:36,特来电川能综能-天府国际金融中心充电站,蓝电快充环球中心充电站,30.580071,104.064782,30.580071,104.064782,Arrive 蓝电快充环球中心充电站,34.70,8.5,5
1,125.8 分,2025-12-01 11:05:48,蓝电快充环球中心充电站,完成測試 @ 蓝电快充环球中心充电站,30.580071,104.064782,30.580071,104.064782,Test Complete,39.70,16.2,6
1,137.5 分,2025-12-01 11:17:30,蓝电快充环球中心充电站,仁和云朵超充站,30.580071,104.064782,30.582717,104.092675,Arrive 仁和云朵超充站,39.50,11.7,6
1,153.7 分,2025-12-01 11:33:42,仁和云朵超充站,完成測試 @ 仁和云朵超充站,30.582717,104.092675,30.582717,104.092675,Test Complete,44.50,16.2,7
1,160.9 分,2025-12-01 11:40:54,仁和云朵超充站,愉秒充新园大道充电站,30.582717,104.092675,30.316427,104.407791,Arrive 愉秒充新园大道充电站,44.39,7.2,7
1,177.2 分,2025-12-01 11:57:12,愉秒充新园大道充电站,完成測試 @ 愉秒充新园大道充电站,30.316427,104.407791,30.316427,104.407791,Test Complete,49.39,16.2,8
1,178.1 分,2025-12-01 11:58:06,愉秒充新园大道充电站,石羊场汽车充换电站,30.316427,104.407791,30.675387,104.041601,Arrive 石羊场汽车充换电站,49.38,0.9,8
1,194.4 分,2025-12-01 12:14:24,石羊场汽车充换电站,完成測試 @ 石羊场汽车充换电站,30.675387,104.041601,30.675387,104.041601,Test Complete,54.38,16.2,9
1,257.3 分,2025-12-01 13:17:18,石羊场汽车充换电站,蒲江亿谦充电站3号桩,30.675387,104.041601,30.210154,103.490846,Arrive 蒲江亿谦充电站3号桩,50.53,62.9,9
1,273.5 分,2025-12-01 13:33:30,蒲江亿谦充电站3号桩,完成測試 @ 蒲江亿谦充电站3号桩,30.210154,103.490846,30.210154,103.490846,Test Complete,55.53,16.2,10
1,373.0 分,2025-12-01 15:13:00,蒲江亿谦充电站3号桩,大充新都锦水苑充电站,30.210154,103.490846,30.648197,104.126483,Arrive 大充新都锦水苑充电站,50.16,99.4,10
1,389.2 分,2025-12-01 15:29:12,大充新都锦水苑充电站,完成測試 @ 大充新都锦水苑充电站,30.648197,104.126483,30.648197,104.126483,Test Complete,55.16,16.2,11
1,460.1 分,2025-12-01 16:40:06,大充新都锦水苑充电站,大邑县铭奇快速充电站,30.648197,104.126483,30.675387,104.041601,Arrive 大邑县铭奇快速充电站,50.85,70.9,11
1,476.3 分,2025-12-01 16:56:18,大邑县铭奇快速充电站,完成測試 @ 大邑县铭奇快速充电站,30.675387,104.041601,30.675387,104.041601,Test Complete,55.85,16.2,12
1,544.9 分,2025-12-01 18:04:54,大邑县铭奇快速充电站,成都 W 酒店,30.675387,104.041601,30.583078,104.05758,Day 1 End,52.49,68.6,12
2,0.0 分,2025-12-02 09:00:00,成都 W 酒店,成都 W 酒店,30.583078,104.05758,30.583078,104.05758,Day 2 Start (Overnight Discharge),13.12,0.0,12
