第幾天,時間 (當日),絕對時間,出發地,目的地,出發地緯度,出發地經度,目的地緯度,目的地經度,事件,電量 (%),用時 (分),累積目標數
1,0.0 分,2025-12-01 09:00:00,重庆解放碑威斯汀酒店,重庆解放碑威斯汀酒店,29.556163,106.580078,29.556163,106.580078,Day 1 Start,10.00,0.0,0
1,10.2 分,2025-12-01 09:10:12,重庆解放碑威斯汀酒店,昊铂重庆财信广场超充站,29.556163,106.580078,29.818827,106.991538,Arrive 昊铂重庆财信广场超充站,10.00,10.2,0
1,26.4 分,2025-12-01 09:26:24,昊铂重庆财信广场超充站,完成測試 @ 昊铂重庆财信广场超充站,29.818827,106.991538,29.818827,106.991538,Test Complete,15.00,16.2,1
1,31.4 分,2025-12-01 09:31:24,昊铂重庆财信广场超充站,智道充电两岸首座充电站,29.818827,106.991538,29.517762,106.577819,Arrive 智道充电两岸首座充电站,14.92,5.0,1
1,47.6 分,2025-12-01 09:47:36,智道充电两岸首座充电站,完成測試 @ 智道充电两岸首座充电站,29.517762,106.577819,29.517762,106.577819,Test Complete,19.92,16.2,2
1,59.9 分,2025-12-01 09:59:54,智道充电两岸首座充电站,上海城紫微星超级充电站,29.517762,106.577819,29.402821,105.825294,Arrive 上海城紫微星超级充电站,19.58,12.2,2
1,76.1 分,2025-12-01 10:16:06,上海城紫微星超级充电站,完成測試 @ 上海城紫微星超级充电站,29.402821,105.825294,29.402821,105.825294,Test Complete,24.58,16.2,3
1,93.3 分,2025-12-01 10:33:18,上海城紫微星超级充电站,愉秒充九龙坡奥体金龙超充站,29.402821,105.825294,29.522317,106.505508,Arrive 愉秒充九龙坡奥体金龙超充站,24.21,17.2,3
1,109.6 分,2025-12-01 10:49:36,愉秒充九龙坡奥体金龙超充站,完成測試 @ 愉秒充九龙坡奥体金龙超充站,29.522317,106.505508,29.522317,106.505508,Test Complete,29.21,16.2,4
1,118.1 分,2025-12-01 10:58:06,愉秒充九龙坡奥体金龙超充站,特瓦特石桥广场超充站,29.522317,106.505508,29.53551,106.492261,Arrive 特瓦特石桥广场超充站,29.06,8.5,4
1,134.4 分,2025-12-01 11:14:24,特瓦特石桥广场超充站,完成測試 @ 特瓦特石桥广场超充站,29.53551,106.492261,29.53551,106.492261,Test Complete,34.06,16.2,5
1,154.0 分,2025-12-01 11:34:00,特瓦特石桥广场超充站,川渝充凤天大道金阳易城超充站,29.53551,106.492261,30.764135,108.404779,Arrive 川渝充凤天大道金阳易城超充站,33.75,19.6,5
1,170.2 分,2025-12-01 11:50:12,川渝充凤天大道金阳易城超充站,完成測試 @ 川渝充凤天大道金阳易城超充站,30.764135,108.404779,30.764135,108.404779,Test Complete,38.75,16.2,6
1,185.2 分,2025-12-01 12:05:12,川渝充凤天大道金阳易城超充站,重庆能投龙门阵充电站,30.764135,108.404779,29.818827,106.991538,Arrive 重庆能投龙门阵充电站,38.41,15.0,6
1,201.5 分,2025-12-01 12:21:30,重庆能投龙门阵充电站,完成測試 @ 重庆能投龙门阵充电站,29.818827,106.991538,29.818827,106.991538,Test Complete,43.41,16.2,7
1,221.2 分,2025-12-01 12:41:12,重庆能投龙门阵充电站,易安充马王场超级充电站,29.818827,106.991538,29.243254,106.227162,Arrive 易安充马王场超级充电站,42.98,19.7,7
1,237.4 分,2025-12-01 12:57:24,易安充马王场超级充电站,完成測試 @ 易安充马王场超级充电站,29.243254,106.227162,29.243254,106.227162,Test Complete,47.98,16.2,8
1,254.5 分,2025-12-01 13:14:30,易安充马王场超级充电站,壳牌大渡口金桥路充电站,29.243254,106.227162,30.649046,107.754444,Arrive 壳牌大渡口金桥路充电站,47.61,17.1,8
1,270.7 分,2025-12-01 13:30:42,壳牌大渡口金桥路充电站,完成測試 @ 壳牌大渡口金桥路充电站,30.649046,107.754444,30.649046,107.754444,Test Complete,52.61,16.3,9
1,319.9 分,2025-12-01 14:19:54,壳牌大渡口金桥路充电站,江津区德感充电站,30.649046,107.754444,,,Arrive 江津区德感充电站,50.09,49.2,9
1,336.2 分,2025-12-01 14:36:12,江津区德感充电站,完成測試 @ 江津区德感充电站,,,,,Test Complete,55.09,16.2,10
1,426.7 分,2025-12-01 16:06:42,江津区德感充电站,重庆电飞侠南神路超充站,,,29.818827,106.991538,Arrive 重庆电飞侠南神路超充站,49.24,90.5,10
1,442.9 分,2025-12-01 16:22:54,重庆电飞侠南神路超充站,完成測試 @ 重庆电飞侠南神路超充站,29.818827,106.991538,29.818827,106.991538,Test Complete,54.24,16.2,11
1,566.8 分,2025-12-01 18:26:48,重庆电飞侠南神路超充站,重庆解放碑威斯汀酒店,29.818827,106.991538,29.556163,106.580078,Day 1 End,49.25,123.8,11
2,0.0 分,2025-12-02 09:00:00,重庆解放碑威斯汀酒店,重庆解放碑威斯汀酒店,29.556163,106.580078,29.556163,106.580078,Day 2 Start (Overnight Discharge),27.97,0.0,11
2,19.6 分,2025-12-02 09:19:36,重庆解放碑威斯汀酒店,润宝三狼国际充电站,29.556163,106.580078,29.612583,106.529359,Arrive 润宝三狼国际充电站,27.47,19.6,11
2,35.9 分,2025-12-02 09:35:54,润宝三狼国际充电站,完成測試 @ 润宝三狼国际充电站,29.612583,106.529359,29.612583,106.529359,Test Complete,32.47,16.2,12
2,45.2 分,2025-12-02 09:45:12,润宝三狼国际充电站,逸安启超充站-重庆高科体育中心,29.612583,106.529359,29.616446,106.513955,Arrive 逸安启超充站-重庆高科体育中心,32.29,9.3,12
2,61.5 分,2025-12-02 10:01:30,逸安启超充站-重庆高科体育中心,完成測試 @ 逸安启超充站-重庆高科体育中心,29.616446,106.513955,29.616446,106.513955,Test Complete,37.29,16.2,13
2,76.8 分,2025-12-02 10:16:48,逸安启超充站-重庆高科体育中心,【幸福千万家】渝北礼嘉充电站,29.616446,106.513955,29.662167,106.497041,Arrive 【幸福千万家】渝北礼嘉充电站,36.94,15.4,13
2,93.1 分,2025-12-02 10:33:06,【幸福千万家】渝北礼嘉充电站,完成測試 @ 【幸福千万家】渝北礼嘉充电站,29.662167,106.497041,29.662167,106.497041,Test Complete,41.94,16.2,14
2,103.1 分,2025-12-02 10:43:06,【幸福千万家】渝北礼嘉充电站,爱众云鲲安吉红岩物流充电站,29.662167,106.497041,29.678388,106.526735,Arrive 爱众云鲲安吉红岩物流充电站,41.71,10.0,14
2,119.4 分,2025-12-02 10:59:24,爱众云鲲安吉红岩物流充电站,完成測試 @ 爱众云鲲安吉红岩物流充电站,29.678388,106.526735,29.678388,106.526735,Test Complete,46.71,16.2,15
2,139.2 分,2025-12-02 11:19:12,爱众云鲲安吉红岩物流充电站,重庆普洛斯,29.678388,106.526735,29.818827,106.991538,Arrive 重庆普洛斯,46.12,19.9,15
2,155.5 分,2025-12-02 11:35:30,重庆普洛斯,完成測試 @ 重庆普洛斯,29.818827,106.991538,29.818827,106.991538,Test Complete,51.12,16.2,16
2,181.4 分,2025-12-02 12:01:24,重庆普洛斯,驿满茶园首末公交充电站,29.818827,106.991538,29.56992,106.42033,Arrive 驿满茶园首末公交充电站,50.04,25.9,16
2,197.6 分,2025-12-02 12:17:36,驿满茶园首末公交充电站,完成測試 @ 驿满茶园首末公交充电站,29.56992,106.42033,29.56992,106.42033,Test Complete,55.04,16.2,17
2,293.6 分,2025-12-02 13:53:36,驿满茶园首末公交充电站,【开鑫】重庆荣昌西南家具城充电站,29.56992,106.42033,29.416155,105.639508,Arrive 【开鑫】重庆荣昌西南家具城充电站,49.37,95.9,17
2,309.8 分,2025-12-02 14:09:48,【开鑫】重庆荣昌西南家具城充电站,完成測試 @ 【开鑫】重庆荣昌西南家具城充电站,29.416155,105.639508,29.416155,105.639508,Test Complete,54.37,16.2,18
