第幾天,時間 (當日),絕對時間,出發地,目的地,出發地緯度,出發地經度,目的地緯度,目的地經度,事件,電量 (%),用時 (分),累積目標數
1,0.0 分,2025-12-01 09:00:00,万丽花园大酒店,万丽花园大酒店,24.773065,110.494304,24.773065,110.494304,Day 1 Start,10.00,0.0,0
1,374.1 分,2025-12-01 15:14:06,万丽花园大酒店,多彩贵州文创园畅的科技充电站,24.773065,110.494304,26.53154,106.776603,Arrive 多彩贵州文创园畅的科技充电站,10.00,374.1,0
1,390.4 分,2025-12-01 15:30:24,多彩贵州文创园畅的科技充电站,完成測試 @ 多彩贵州文创园畅的科技充电站,26.53154,106.776603,26.53154,106.776603,Test Complete,15.00,16.2,1
1,397.4 分,2025-12-01 15:37:24,多彩贵州文创园畅的科技充电站,贵阳太升国际蔚来超充站,26.53154,106.776603,26.542087,106.778543,Arrive 贵阳太升国际蔚来超充站,14.87,7.1,1
1,413.7 分,2025-12-01 15:53:42,贵阳太升国际蔚来超充站,完成測試 @ 贵阳太升国际蔚来超充站,26.542087,106.778543,26.542087,106.778543,Test Complete,19.87,16.2,2
1,432.7 分,2025-12-01 16:12:42,贵阳太升国际蔚来超充站,铁运巷整合新能源充电站,26.542087,106.778543,26.677392,106.744446,Arrive 铁运巷整合新能源充电站,19.38,19.0,2
1,448.9 分,2025-12-01 16:28:54,铁运巷整合新能源充电站,完成測試 @ 铁运巷整合新能源充电站,26.677392,106.744446,26.677392,106.744446,Test Complete,24.38,16.2,3
1,467.5 分,2025-12-01 16:47:30,铁运巷整合新能源充电站,逸安启超充站-贵阳数博万达广场,26.677392,106.744446,26.593185,106.650263,Arrive 逸安启超充站-贵阳数博万达广场,23.94,18.5,3
1,495.4 分,2025-12-01 17:15:24,逸安启超充站-贵阳数博万达广场,進行充電 @ Current Location,26.593185,106.650263,,,Emergency Charge (After Hours),36.28,28.0,3
1,859.2 分,2025-12-01 23:19:12,逸安启超充站-贵阳数博万达广场,万丽花园大酒店,26.593185,106.650263,24.773065,110.494304,Day 1 End,10.00,363.8,3
2,0.0 分,2025-12-02 09:00:00,万丽花园大酒店,万丽花园大酒店,24.773065,110.494304,24.773065,110.494304,Day 2 Start (Keep/Top-up SOC),10.00,0.0,3
2,386.8 分,2025-12-02 15:26:48,万丽花园大酒店,腾龙湾充电站,24.773065,110.494304,,,Arrive 腾龙湾充电站,10.00,386.8,3
2,403.1 分,2025-12-02 15:43:06,腾龙湾充电站,完成測試 @ 腾龙湾充电站,,,,,Test Complete,15.00,16.2,4
2,430.1 分,2025-12-02 16:10:06,腾龙湾充电站,逸安启超充站-贵阳数博万达广场,,,26.593185,106.650263,Arrive 逸安启超充站-贵阳数博万达广场,14.10,27.0,4
2,446.4 分,2025-12-02 16:26:24,逸安启超充站-贵阳数博万达广场,完成測試 @ 逸安启超充站-贵阳数博万达广场,26.593185,106.650263,26.593185,106.650263,Test Complete,19.10,16.2,5
2,467.4 分,2025-12-02 16:47:24,逸安启超充站-贵阳数博万达广场,观山湖商贸城充电站,26.593185,106.650263,,,Arrive 观山湖商贸城充电站,18.65,21.1,5
2,503.0 分,2025-12-02 17:23:00,观山湖商贸城充电站,進行充電 @ Current Location,,,,,Emergency Charge (After Hours),37.07,35.6,5
2,865.5 分,2025-12-02 23:25:30,观山湖商贸城充电站,万丽花园大酒店,,,24.773065,110.494304,Day 2 End,10.00,362.5,5
3,0.0 分,2025-12-03 09:00:00,万丽花园大酒店,万丽花园大酒店,24.773065,110.494304,24.773065,110.494304,Day 3 Start (Keep/Top-up SOC),10.00,0.0,5
3,394.1 分,2025-12-03 15:34:06,万丽花园大酒店,昊铂贵阳宜大生活超市超充站,24.773065,110.494304,26.53154,106.776603,Arrive 昊铂贵阳宜大生活超市超充站,10.00,394.1,5
3,410.3 分,2025-12-03 15:50:18,昊铂贵阳宜大生活超市超充站,完成測試 @ 昊铂贵阳宜大生活超市超充站,26.53154,106.776603,26.53154,106.776603,Test Complete,15.00,16.2,6
3,436.9 分,2025-12-03 16:16:54,昊铂贵阳宜大生活超市超充站,观山湖商贸城充电站,26.53154,106.776603,,,Arrive 观山湖商贸城充电站,13.56,26.6,6
3,453.2 分,2025-12-03 16:33:12,观山湖商贸城充电站,完成測試 @ 观山湖商贸城充电站,,,,,Test Complete,18.56,16.2,7
3,503.1 分,2025-12-03 17:23:06,观山湖商贸城充电站,進行充電 @ Current Location,,,,,Emergency Charge (After Hours),37.07,50.0,7
3,865.6 分,2025-12-03 23:25:36,观山湖商贸城充电站,万丽花园大酒店,,,24.773065,110.494304,Day 3 End,10.00,362.5,7
