天數,Date,站點,Use Case,狀態,CPO Name,製造商,MODEL,電壓(V),電流(A),功率(kW),開啟電裝方式,"具備12, 24V選項",開始時間,開始電量(%),結束時間,結束電量(%),结束原因,結束方法,測試結果,備註
1,2025-11-28,广州城投（花城广场南区）充电站,DC_UC4_17460724,正常測試,城投充电,国家电网,DC,750.0,120.0,90.0,掃描 QRcode,,2025-11-28 11:19:04,36.0,2025-11-28 11:24:30,37.0,APP,手動結束,Pass,在內部發現空位
1,2025-11-28,小鹏汽车充电站(小鹏超充广州国际金融中心IFC站),DC_UC5_17460720,正常測試,开麦斯,,,,,,掃描 QRcode,,2025-11-28 11:49:02,36.0,2025-11-28 11:54:14,40.0,APP,手動結束,Pass,同一区域内发现开麦斯
1,2025-11-28,小鹏汽车充电站(小鹏超充广州国际金融中心IFC站),DC_UC4_17460724,正常測試,小鵬,小鵬,HDC,1000.0,250.0,250.0,掃描 QRcode,,2025-11-28 12:07:46,40.0,2025-11-28 12:10:47,42.0,APP,手動結束,Pass,该 USE CASE 测试时固定三分钟
1,2025-11-28,小鹏汽车充电站(小鹏超充广州国际金融中心IFC站),DC_UC5_17460720,正常測試,逸安啟,寶馬,HPC,1000.0,600.0,600.0,掃描 QRcode,,2025-11-28 12:19:03,42.0,2025-11-28 12:23:33,50.0,APP,手動結束,Pass,同一地點發現逸安啟 設置目標充電至 50%
1,2025-11-28,小鹏汽车充电站(小鹏超充广州国际金融中心IFC站),DC_UC5_17460720,正常測試,逸安啟,寶馬,HPC,1000.0,600.0,600.0,掃描 QRcode,,2025-11-28 12:19:03,42.0,2025-11-28 12:23:33,50.0,APP,手動結束,Pass,同一地點發現逸安啟 設置目標充電至 50%
1,2025-11-28,小朗充电-广州市妇女儿童医疗中心充电站,DC_UC5_17460720,無法測試,小朗,,,,,,,,,,,,,,nan,該地區不適合測試 以後去掉 POI 醫院位置
1,2025-11-28,广汽能源汽车充电站(广汽昊铂广州珠江公园超充站),DC_UC6_17460721,正常測試,广汽,新电途,HPC,1000.0,250.0,360.0,掃描 QRcode,,2025-11-28 13:22:39,46.0,2025-11-28 13:27:59,54.0,LAT,手動結束,Pass,"差槍後沒有及時掃碼,app display 360KW  but charger only 120 KW"
1,2025-11-28,蔚来能源目的地充电站(内部使用广州天銮广场),DC_UC6_17460721,無法測試,蔚來,,,,,,,,,,,,,,nan,不對外開放
1,2025-11-28,维杰斯通充电站-慢充,DC_UC6_17460721,正常測試,維傑斯,新亞東方電能科技有限公司,DC,750.0,240.0,120.0,掃描 QRcode,,2025-11-28 14:45:53,44.0,2025-11-28 14:48:09,50.0,LAT,手動結束,Pass,發現額外 DC 站 修改紀錄時間
1,2025-11-28,广州 W 酒店,AC_UC1_17460722,正常測試,維傑斯,新亞東方電能科技有限公司,AC,220.0,32.0,7.0,掃描 QRcode,,2025-11-28 14:53:57,50.0,2025-11-28 14:59:32,50.0,APP,手動結束,Pass,發現額外 DC 站 修改紀錄時間
