id,name,address,cityname,adname,location,biz_rating,biz_cost,biz_open_time,biz_opentime2,source_hex_id,cpo_final,longitude,latitude
B0LUBAGB6W,蔚来能源目的地充电站(成都三岔湖蕃薯藤度假酒店),三岔街道三岔湖内,成都市,简阳市,"104.267496,30.327518",2.5,,24小时营业,周一至周日 00:00-24:00,hex_111,蔚来,104.267496,30.327518
B0K26MTGIC,理想汽车充电站(理想超充站成都天府机场),四川航空天府分公司北门旁,成都市,简阳市,"104.458740,30.335299",3.8,,24小时营业,周一至周日 00:00-24:00,hex_137,理想,104.45874,30.335299
B0LUH9CY1L,理想超级充电站(理想超充站成都麓湖海浪运动公园),华阳街道嘉州路WAVE BOX海浪运动公园,成都市,双流区,"104.058221,30.461415",3.8,,24小时营业,周一至周日 00:00-24:00,hex_157,理想,104.058221,30.461415
B0L046VHJ5,小鹏超级充电站(小鹏S4超快充成都天府泰和泰中心站),隆和西巷299号(杭州路地铁站B2口步行400米),成都市,双流区,"104.087036,30.437222",3.8,,24小时营业,周一至周日 00:00-24:00,hex_157,小鹏,104.087036,30.437222
B0K15UEZG8,蔚来能源超级充电站(成都麓湖海浪公园),天津路西段,成都市,双流区,"104.054170,30.461369",2.6,,24小时营业,周一至周日 00:00-24:00,hex_157,蔚来,104.05417,30.461369
B0LGFGPI7O,蔚来能源目的地充电站(内部使用成都蔚蓝阁A区),天府新区正兴街道双燕路西段333号,成都市,双流区,"104.059810,30.440672",0.0,,24小时营业,周一至周日 00:00-24:00,hex_157,蔚来,104.05981,30.440672
B0LA7YN5JE,蔚来能源目的地充电站(内部使用成都蔚蓝轩A区),武汉路西段附近,成都市,双流区,"104.064090,30.441029",0.0,,24小时营业,周一至周日 00:00-24:00,hex_157,蔚来,104.06409,30.441029
B0LA7YL78D,蔚来能源目的地充电站(内部使用成都蔚蓝轩B区),武汉路西段蔚蓝卡地亚花园城内,成都市,双流区,"104.066070,30.441818",0.0,,24小时营业,周一至周日 00:00-24:00,hex_157,蔚来,104.06607,30.441818
B0LGFGO9F8,蔚来能源目的地充电站(内部使用成都蔚蓝阁B区),双燕路西段336号,成都市,双流区,"104.062160,30.439348",0.0,,24小时营业,周一至周日 00:00-24:00,hex_157,蔚来,104.06216,30.439348
B0LGVDSVPI,汽车充电站(私人小鹏共享充电桩),天津路东段1016号万科天府公园城悦庭负一层639号车位,成都市,双流区,"104.089807,30.465036",[],,24小时营业,周一至周日 00:00-24:00,hex_157,小鹏,104.089807,30.465036
B0L0K6P3XI,小鹏超级充电站(小鹏S4超快充成都龙泉红岭路站),红岭路375号停车场,成都市,龙泉驿区,"104.271810,30.574300",3.8,,24小时营业,周一至周日 00:00-24:00,hex_207,小鹏,104.27181,30.5743
B0J0U4US0D,小鹏超级充电站(小鹏S4超快充成都龙泉卡尔中心站),成龙大道三段388号卡尔中心,成都市,龙泉驿区,"104.223705,30.546355",5.0,,24小时营业,周一至周日 00:00-24:00,hex_207,小鹏,104.223705,30.546355
B0KRD9M5FE,理想汽车充电站(理想超充站成都龙泉驿红岭路),龙泉街道成都市龙泉驿区特殊教育学校,成都市,龙泉驿区,"104.272249,30.573859",3.8,,24小时营业,周一至周日 00:00-24:00,hex_207,理想,104.272249,30.573859
B0IUJ7IR9J,小鹏汽车充电站(小鹏超充成都龙泉吾悦广场站),龙泉吾悦地下停车场A101(入口大连北路),成都市,龙泉驿区,"104.238510,30.578180",3.8,,24小时营业,周一至周日 00:00-24:00,hex_207,小鹏,104.23851,30.57818
B0KGFL97VX,理想超级充电站(理想超充站成都航天城东侧停车场),龙泉街道燎原中路航天城,成都市,龙泉驿区,"104.261170,30.555325",3.5,,24小时营业,周一至周日 00:00-24:00,hex_207,理想,104.26117,30.555325
B0LDMRCIKF,蔚来能源超级充电站(成都市天府新区麓山沈阳路),万安街道麓山大道二段6号附33号,成都市,双流区,"104.087548,30.470365",4.9,,24小时营业,周一至周日 00:00-24:00,hex_181,蔚来,104.087548,30.470365
B0JR16LUJ2,小鹏目的地充电站(小鹏目充成都天府和悦体验中心20kW站),"天府和悦广场地下B1层(入口麓山大道二段)充电车位,四川省成都市双流区麓山大道二段199号天府和悦广场A馆-LG-60",成都市,双流区,"104.085657,30.486809",2.3,,24小时营业,周一至周日 00:00-24:00,hex_181,小鹏,104.085657,30.486809
B0J0PU9PVP,蔚来能源超级充电站(成都会龙祥龙一街),中和会龙路304号地面停车场,成都市,双流区,"104.078284,30.521742",2.6,,24小时营业,周一至周日 00:00-24:00,hex_181,蔚来,104.078284,30.521742
B0J3CSED0S,蔚来换电站(成都会龙祥龙一街),中和会龙路304号,成都市,双流区,"104.078148,30.521739",[],,24小时营业,周一至周日 00:00-24:00,hex_181,蔚来,104.078148,30.521739
B0LR3MBJB4,理想超级充电站(理想超充站成都海伦堡海伦春天),华阳街道牧华路三段辅路海伦堡海伦春天,成都市,双流区,"104.044620,30.485699",3.8,,24小时营业,周一至周日 00:00-24:00,hex_180,理想,104.04462,30.485699
B0IUDLJSLG,小鹏超级充电站(小鹏S4超快充成都复地御香山站),华阳镇街道东山大道一段复地御香山3悦地下停车场386,成都市,双流区,"104.069855,30.476566",3.3,,24小时营业,周一至周日 00:00-24:00,hex_180,小鹏,104.069855,30.476566
B0LUH9KM5J,理想超级充电站(理想超充站成都华阳大润发),怡心街道嘉美地(骑龙地铁站A口步行230米),成都市,双流区,"104.042840,30.523432",3.8,,24小时营业,周一至周日 00:00-24:00,hex_180,理想,104.04284,30.523432
B0J64S7EEC,蔚来换电站(成都天府恒大文化旅游城),天府大道南段2490号,成都市,双流区,"104.069436,30.484651",4.2,,24小时营业,周一至周日 00:00-24:00,hex_180,蔚来,104.069436,30.484651
B0LAVM605D,理想超级充电站(理想超充站成都高新区天府四街),桂溪街道悟空羽毛球运动公园,成都市,武侯区,"104.025200,30.540520",3.8,,24小时营业,周一至周日 00:00-24:00,hex_180,理想,104.0252,30.54052
B0L61UQL0E,蔚来能源目的地充电站(内部使用艾默生自动化流体四川有限公司),西航港开发区空港四路1128号,成都市,双流区,"103.983340,30.506147",0.0,,24小时营业,周一至周日 00:00-24:00,hex_180,蔚来,103.98334,30.506147
B0IKFLE0I4,蔚来能源汽车充电站(蔚来超充站成都天府恒大文化旅游城),天府大道南段2618号,成都市,双流区,"104.069543,30.484616",3.3,,24小时营业,周一至周日 00:00-24:00,hex_180,蔚来,104.069543,30.484616
B0L1FUWW8V,蔚来能源目的地充电站(内部使用成都市双流区感知成都中心),感知成都中心地下停车场,成都市,双流区,"104.007390,30.466026",0.0,,24小时营业,周一至周日 00:00-24:00,hex_180,蔚来,104.00739,30.466026
B0H309D4VY,汽车充电站(蔚来超充站成都雷鳗百日红西路),百日红西路地面停车场,成都市,锦江区,"104.145832,30.601244",4.7,,24小时营业,周一至周日 00:00-24:00,hex_206,蔚来,104.145832,30.601244
B0K2X62A83,小鹏超级充电站(小鹏S4超快充成都龙泉经开产业园站),成龙大道二段1666号成都龙泉经开产业园,成都市,龙泉驿区,"104.194731,30.561767",3.4,,24小时营业,周一至周日 00:00-24:00,hex_206,小鹏,104.194731,30.561767
B0I05PVHJE,小鹏汽车充电站(小鹏超充成都华熙LIVE·528商业区站),喜树街与海棠路交叉口南150米华熙live·528,成都市,锦江区,"104.145120,30.593319",3.8,,24小时营业,周一至周日 00:00-24:00,hex_206,小鹏,104.14512,30.593319
B0L114J1DY,友电目的地充电站(成都百日红西路蔚来超充站内),百日红西路东部副中心市政景观公园,成都市,锦江区,"104.143050,30.602015",2.2,,24小时营业,周一至周日 00:00-24:00,hex_206,蔚来,104.14305,30.602015
B0I6PRI3NZ,蔚来能源目的地充电站(已拆除成都世茂广场)(暂停营业),蔚来空间(成都世茂广场店),成都市,龙泉驿区,"104.187777,30.581440",0.0,,00:00-21:00,周一至周日 00:00-21:00,hex_206,蔚来,104.187777,30.58144
B0IR9LVQET,蔚来能源汽车充电站(成都中和湿地公园),中和湿地公园地面停车场,成都市,双流区,"104.108792,30.563395",4.7,,24小时营业,周一至周日 00:00-24:00,hex_205,蔚来,104.108792,30.563395
B0K1JRB7YB,蔚来换电站(中和湿地公园),中和湿地公园1号门东350米,成都市,双流区,"104.108675,30.563275",4.3,,[],[],hex_205,蔚来,104.108675,30.563275
B0I0AP5VPC,蔚来能源汽车充电站(成都香月湖),吉庆二路333号香月湖地下停车场,成都市,武侯区,"104.060437,30.554934",4.7,,24小时营业,周一至周日 00:00-24:00,hex_205,蔚来,104.060437,30.554934
B0K1TAV3D0,蔚来换电站(成都宜家家居高新商场),益州大道北段8号,成都市,武侯区,"104.060966,30.599482",[],,24小时营业,周一至周日 00:00-24:00,hex_205,蔚来,104.060966,30.599482
B0KKD6VRQY,小鹏超级充电站(能创·腾启特拉克斯超级充电站小鹏平台),桂溪街道天顺中街11号特拉克斯国际广场北楼,成都市,武侯区,"104.070591,30.593309",3.3,,24小时营业,周一至周日 00:00-24:00,hex_205,小鹏,104.070591,30.593309
B0K0Y6M2RX,小鹏超级充电站(小鹏S5超快充成都天祥广场站),天府大道中段500号东方希望天祥广场,成都市,武侯区,"104.067410,30.552347",3.8,,24小时营业,周一至周日 00:00-24:00,hex_205,小鹏,104.06741,30.552347
B0L6C63V1C,小鹏超级充电站(小鹏S4超快充成都大源公园站),天府三街988号大源中央公园(入口天府三街),成都市,武侯区,"104.051867,30.547071",3.3,,24小时营业,周一至周日 00:00-24:00,hex_205,小鹏,104.051867,30.547071
B0K3XH2FC0,汽车换电站(蔚来高新机场路站),新园南三路133号,成都市,武侯区,"104.035091,30.593207",[],,24小时营业,周一至周日 00:00-24:00,hex_205,蔚来,104.035091,30.593207
B0LR9CQ1NG,理想超级充电站(理想超充站成都佛莱雅花园酒店),桂溪街道天仁路247号佛莱雅花园酒店(新加坡),成都市,武侯区,"104.071846,30.601368",3.8,,24小时营业,周一至周日 00:00-24:00,hex_205,理想,104.071846,30.601368
B0K0JZ0UR6,蔚来能源目的地充电站(蔚来V2G充电站|成都城南天府),天府大厦地下停车场(火车南站地铁站E口步行300米),成都市,武侯区,"104.063770,30.604013",2.6,,24小时营业,周一至周日 00:00-24:00,hex_205,蔚来,104.06377,30.604013
